Team,Round,lineBreaks,gainLine,overAdvPercentage,phasesPerPoss,phase1,phase2,phase3,phase4,phase5,phase6,phase7,phase8,phase9Plus,totalPoss,totalPhases
Waratahs,1,9,38,57.6,2.7,13,10,8,3,,4,1,1,,40,108
Sunwolves,1,5,52,61.2,4.4,7,5,4,1,1,3,1,1,3,26,115
Sharks,1,10,60,81.1,2.8,16,11,8,4,,3,1,1,1,45,124
Reds,1,8,52,44.4,3.5,10,12,4,3,9,2,1,,3,44,153
Rebels,1,4,43,50.6,2.7,17,17,7,3,2,2,,,3,51,139
Lions,1,7,60,71.4,3.5,9,8,7,4,1,5,1,1,2,38,133
Kings,1,3,27,52.9,2.4,18,9,5,2,2,1,3,,,40,96
Jaguares,1,9,45,54.9,2.7,22,7,7,6,1,2,2,1,1,49,130
Hurricanes,1,2,41,50.6,3.1,7,16,7,3,1,1,3,1,1,40,122
Highlanders,1,3,35,66,2.8,9,9,5,3,3,1,,,1,31,86
Force,1,4,39,47.6,2.6,14,19,11,2,2,3,1,,1,53,137
Crusaders,1,9,26,63.4,1.9,26,13,5,,1,,,1,1,47,89
Chiefs,1,8,51,64.6,2.6,21,12,6,4,1,1,1,1,2,49,129
Cheetahs,1,11,50,74.6,2.6,15,16,7,2,1,2,1,,2,46,119
Brumbies,1,8,37,57.8,2.6,16,9,7,3,,1,2,1,1,40,105
Blues,1,7,54,51.4,3.5,6,13,11,2,4,1,2,2,1,42,149
Stormers,1,3,42,47.7,2.7,18,11,8,7,4,1,1,2,,52,141
Bulls,1,2,38,48.1,2.8,20,7,9,5,1,3,,1,2,48,135
Force,2,7,47,57.3,2.8,18,9,3,7,3,3,1,,2,46,131
Waratahs,2,5,32,52.5,2.4,13,14,6,4,4,1,,,,42,101
Stormers,2,10,45,41.3,3.1,14,13,12,1,,1,3,2,3,49,151
Sharks,2,8,27,54,2.1,28,12,6,1,1,2,1,,1,52,109
Reds,2,4,41,60.3,2.6,15,14,8,3,4,2,,,1,47,122
Rebels,2,7,46,63.9,2.8,12,16,7,4,1,2,1,1,1,45,124
Lions,2,11,32,62.7,2.7,12,8,8,2,2,1,,1,1,35,94
Jaguares,2,4,37,57.8,2.3,23,10,9,3,4,,2,,,51,116
Hurricanes,2,8,46,57.5,2.8,23,11,6,1,1,1,1,,4,48,133
Highlanders,2,7,31,56.4,2.1,24,15,4,4,,,2,,1,50,106
Crusaders,2,8,60,60.6,3.2,18,9,2,6,1,,2,3,2,43,137
Chiefs,2,6,27,69.2,2.3,13,9,3,2,2,1,,1,,31,72
Cheetahs,2,5,34,55.7,2.4,19,9,2,4,2,1,,1,1,39,93
Bulls,2,11,60,62.5,3.5,9,8,5,6,5,4,,2,1,40,138
Brumbies,2,9,51,51.5,3.4,16,7,6,2,1,3,2,1,4,42,142
Blues,2,2,21,47.7,2.2,15,10,5,3,2,,,1,,36,80
Force,3,5,43,54.4,3.5,8,8,6,6,2,,2,,3,35,121
Sunwolves,3,8,34,54.8,2.4,17,12,6,3,2,1,1,1,,43,102
Stormers,3,3,39,40.2,3.3,20,3,4,5,3,3,3,1,2,44,145
Sharks,3,2,33,54.1,2.5,19,8,4,2,4,,2,,1,40,101
Reds,3,4,38,51.4,3.4,8,10,8,2,1,1,,1,2,33,113
Rebels,3,8,49,52.1,3.5,11,6,7,3,4,3,2,1,2,39,135
Lions,3,8,66,55.5,4.2,7,9,8,2,,3,2,,6,37,157
Kings,3,4,25,46.3,2.5,19,10,5,2,1,,1,2,1,41,101
Hurricanes,3,3,34,45.3,3.2,13,7,6,2,2,2,1,1,2,36,116
Highlanders,3,10,28,58.3,2.2,15,8,6,3,2,,1,,,35,78
Chiefs,3,12,59,75.6,2.7,16,10,6,3,2,1,2,,2,42,115
Cheetahs,3,7,43,59.7,2.8,20,10,4,3,2,2,,1,3,45,125
Brumbies,3,9,45,45,3.2,12,16,6,4,,1,2,1,3,45,143
Blues,3,14,76,58.9,3.9,10,9,5,7,2,3,1,2,4,43,168
Force,4,4,28,42.4,2.8,15,12,6,4,2,3,,,2,44,121
Waratahs,4,14,52,52,3,20,10,6,8,4,1,1,3,2,55,166
Sunwolves,4,6,41,46.1,3.4,10,12,6,,4,3,,1,2,38,128
Stormers,4,8,34,58.6,2.3,19,10,4,1,4,2,1,,,41,94
Sharks,4,4,17,44.7,2.2,14,13,9,2,3,,,,,41,90
Reds,4,5,23,42.6,2.7,9,9,13,6,,,1,1,,39,105
Rebels,4,7,34,47.9,2.4,21,11,6,6,3,1,1,1,,50,121
Lions,4,8,53,63.1,2.9,10,13,10,3,3,3,1,,1,44,129
Kings,4,4,25,35.2,2.9,18,8,5,2,3,2,1,,2,41,119
Jaguares,4,9,49,58.3,3.2,11,4,8,4,3,3,,,2,35,112
Hurricanes,4,16,69,63.3,3.1,22,9,2,2,2,6,,1,4,48,148
Highlanders,4,8,25,54.3,1.9,27,17,6,1,,,,,1,52,97
Crusaders,4,13,34,73.9,2.2,16,12,4,2,2,1,1,,,38,83
Chiefs,4,7,48,68.6,3.1,9,9,5,2,3,3,,3,,34,107
Cheetahs,4,2,32,47.1,2.6,16,5,7,5,1,5,,,,39,102
Bulls,4,2,38,51.4,2.7,16,11,9,6,1,2,2,1,,48,128
Brumbies,4,7,16,33.3,2.4,17,12,5,2,2,,1,,2,41,99
Blues,4,8,64,65.3,3.5,8,17,3,1,3,1,,1,4,38,133
Waratahs,5,7,26,59.1,2,23,11,4,3,,2,1,,,44,88
Sunwolves,5,7,11,40.7,2,10,12,6,1,1,,,,,30,61
Stormers,5,5,22,45.8,2.3,19,11,4,,2,2,1,1,,40,90
Sharks,5,3,12,37.5,1.7,27,17,4,3,1,,,,,52,90
Reds,5,7,37,48.1,2.6,20,17,6,4,3,,1,1,2,54,139
Rebels,5,5,41,45.6,3.6,12,10,4,4,2,2,1,1,3,39,139
Kings,5,4,41,64.1,3,12,9,5,,4,2,1,,1,34,101
Jaguares,5,7,50,45.5,3.8,9,7,7,5,5,3,1,2,2,41,156
Hurricanes,5,16,53,63.9,2.7,17,16,4,3,,2,,,3,45,121
Highlanders,5,1,43,64.2,2.5,17,13,4,1,6,2,,,1,44,112
Force,5,7,33,48.5,2.7,15,17,5,1,,1,,1,3,43,118
Crusaders,5,11,34,49.3,2.3,26,11,7,5,2,,,,2,53,124
Chiefs,5,13,50,78.1,2.4,20,11,8,4,2,1,1,1,,48,113
Cheetahs,5,7,30,60,2.3,17,8,6,5,5,,,,,41,96
Bulls,5,6,40,64.5,2.8,17,6,10,3,2,1,,,3,42,116
Brumbies,5,6,26,51,2.2,17,10,4,3,1,,1,,1,37,82
Sunwolves,6,8,57,53.3,3.4,12,4,10,10,1,,,3,3,43,148
Lions,6,7,52,63.4,3.2,10,8,8,8,3,,1,,1,39,123
Kings,6,6,34,61.8,2.3,19,8,6,1,1,1,2,,1,39,91
Jaguares,6,8,33,52.4,2.6,15,4,12,3,,4,,1,,39,103
Highlanders,6,14,44,54.3,2.2,30,7,12,1,1,5,1,,,57,126
Force,6,10,55,53.9,3.2,23,10,5,2,2,3,,,6,51,161
Crusaders,6,10,31,58.5,2.3,13,14,3,3,1,,,2,,36,83
Chiefs,6,10,32,59.3,2.3,19,12,6,2,1,3,,1,,44,100
Cheetahs,6,6,27,52.9,2.4,18,6,4,3,4,1,,1,,37,88
Bulls,6,8,43,50,3.2,8,10,14,4,1,1,,1,3,42,136
Brumbies,6,8,29,50.9,2.7,10,12,6,4,,2,,2,,36,96
Blues,6,9,50,52.6,3.5,13,6,8,2,1,1,2,1,3,37,128
Waratahs,6,8,60,56.6,3,18,8,7,6,2,6,,1,1,49,145
Rebels,6,7,48,53.9,3.4,10,6,10,5,2,1,1,2,2,39,133
Sunwolves,7,14,56,57.1,3.8,7,7,12,4,2,1,,,4,37,139
