Team,Round,tacklesMade,tacklesMissed,tacklesPen,tackles1st,tacklesAssist,tackles1stPerc,tacklesMadePerc,contestSuccesDom,contestSuccesNeut,contestSuccesPass,contestSuccesDNPerc,defenceRuckMaul,defenceRucksEff,defenceRucksIneff,defenceRucksInv,defenceRucksTOFrc,lineOutStls,defenceScrumWins,defenceTOForced,defencePFAtt,defencePFDef,defencePFTotal,totalTackles,turnOversForced
Waratahs,1,167,23,,128,39,84.8,87.9,13,129,48,74.7,,,,53,13,,,13,6,12,18,190,13
Sunwolves,1,120,27,,97,23,78.2,81.6,2,82,63,57.1,,,,61,8,,1,8,3,12,15,147,9
Sharks,1,83,11,,66,17,85.7,88.3,12,59,23,75.5,,,,47,7,1,2,8,2,12,14,94,10
Reds,1,91,31,,77,14,71.3,74.6,5,66,51,58.2,,,,31,8,3,2,11,3,8,11,122,13
Rebels,1,111,22,,97,14,81.5,83.5,8,89,36,72.9,,,,63,13,1,,14,3,8,11,133,14
Lions,1,132,14,,99,33,87.6,90.4,6,94,46,68.5,,,,32,6,,,6,6,5,11,146,6
Kings,1,104,31,,83,21,72.8,77,6,65,64,52.6,,,,50,8,3,1,11,3,11,14,135,12
Jaguares,1,106,29,,92,14,76,78.5,11,63,61,54.8,,,,60,11,,1,11,3,7,10,135,12
Hurricanes,1,87,13,,74,13,85.1,87,5,49,46,54,,,,27,5,,2,5,2,6,8,100,7
Highlanders,1,166,29,,122,44,80.8,85.1,8,119,68,65.1,,,,55,3,,,3,3,9,12,195,3
Western Force,1,119,15,,102,17,87.2,88.8,7,88,39,70.9,,,,49,5,2,2,7,1,7,8,134,9
Crusaders,1,136,23,,109,27,82.6,85.5,11,69,79,50.3,,,,46,6,,1,6,,7,7,159,7
Chiefs,1,74,11,,58,16,84.1,87.1,8,39,38,55.3,,,,28,3,1,,4,3,5,8,85,4
Cheetahs,1,133,48,,99,34,67.3,73.5,10,83,88,51.4,,,,54,6,2,1,8,6,7,13,181,9
Brumbies,1,114,23,,100,14,81.3,83.2,11,69,57,58.4,,,,61,12,,2,12,3,11,14,137,14
Blues,1,87,12,,71,16,85.5,87.9,7,43,49,50.5,,,,38,5,2,,7,1,5,6,99,7
Stormers,1,144,11,,106,38,90.6,92.9,7,107,41,73.5,,,,69,8,3,,11,3,5,8,155,11
Bulls,1,151,21,,117,34,84.8,87.8,7,104,61,64.5,,,,73,4,1,1,5,5,7,12,172,6
Western Force,2,96,19,,84,12,81.6,83.5,16,63,36,68.7,,,,46,13,,,13,1,10,11,115,13
Waratahs,2,139,28,,108,31,79.4,83.2,9,99,59,64.7,,,,56,4,2,,6,3,10,13,167,6
Stormers,2,78,14,,64,14,82.1,84.8,7,43,42,54.3,,,,27,7,7,3,14,7,5,12,92,17
Sharks,2,116,20,,89,27,81.7,85.3,13,76,47,65.4,,,,46,12,2,1,14,2,7,9,136,15
Reds,2,116,20,,98,18,83.1,85.3,3,84,49,64,,,,31,2,1,1,3,3,8,11,136,4
Rebels,2,132,27,,107,25,79.9,83,10,91,58,63.5,,,,68,8,,1,8,2,5,7,159,9
Lions,2,78,28,,56,22,66.7,73.6,4,52,50,52.8,,,,27,7,2,2,9,1,8,9,106,11
Jaguares,2,94,22,,70,24,76.1,81,8,54,54,53.4,,,,34,10,3,,13,1,11,12,116,13
Hurricanes,2,83,19,,68,15,78.2,81.4,14,36,52,49,,,,35,9,1,,10,2,8,10,102,10
Highlanders,2,115,20,,94,21,82.5,85.2,7,70,58,57,,,,58,6,,1,6,2,2,4,135,7
Crusaders,2,83,8,,59,24,88.1,91.2,6,50,35,61.5,,,,26,4,4,1,8,3,9,12,91,9
Chiefs,2,113,30,,83,30,73.5,79,11,69,63,55.9,,,,33,8,2,1,10,4,11,15,143,11
Cheetahs,2,176,23,,130,46,85,88.4,13,114,72,63.8,,,,68,4,2,2,6,4,11,15,199,8
Bulls,2,125,26,,90,35,77.6,82.8,6,85,60,60.3,,,,50,5,2,,7,7,9,16,151,7
Brumbies,2,81,15,,71,10,82.6,84.4,12,51,33,65.6,,,,69,8,,1,8,1,8,9,96,9
Blues,2,144,29,,111,33,79.3,83.2,11,89,73,57.8,,,,53,9,,1,9,1,10,11,173,10
Western Force,3,134,21,3,113,21,84.3,84.8,7,76,75,52.5,105,46,26,72,6,,,6,,,11,155,6
Sunwolves,3,114,23,1,86,28,78.9,82.6,3,84,51,63,83,10,29,39,5,,1,5,,,6,137,6
Stormers,3,105,14,2,71,34,83.5,86.8,11,79,31,74.4,63,14,47,61,8,,1,8,,,6,119,9
