Team,Round,kicksTerritorialTot,kicksTerritorialDist,kicksTerritorialAvg,kicksBombTot,kicksBombDist,kicksBoxTot,kicksBoxDist,kicksChipTot,kicksChipDist,kicksCrossFieldTot,kicksCrossFieldDist,kicksLowTot,kicksLowDist,kicksChgdDown,kicksTotal,kicksTotalDist
Waratahs,1,8,242,30.3,1,29,3,62,2,35,1,13,5,70,1,20,451
Sunwolves,1,4,221,55.3,,,1,,,,,,2,60,,7,281
Sharks,1,7,293,41.9,1,34,3,97,,,,,1,27,,12,451
Reds,1,6,174,29,1,25,3,62,1,14,,,3,42,,14,317
Rebels,1,19,630,33.2,1,17,8,217,,,,,3,82,1,31,946
Lions,1,4,136,34,,,1,9,2,37,,,1,36,,8,218
Kings,1,6,276,46,3,78,3,63,2,40,,,,,,14,457
Jaguares,1,8,352,44,4,121,1,38,,,1,5,8,258,,22,774
Hurricanes,1,1,34,34,,,1,33,,,,,5,54,2,7,121
Highlanders,1,6,297,49.5,4,95,7,125,,,,,2,33,1,19,550
Western Force,1,13,424,32.6,3,83,1,2,3,64,,,2,48,1,22,621
Crusaders,1,19,743,39.1,2,46,6,183,,,1,12,2,46,1,30,1030
Chiefs,1,17,731,43,2,41,2,38,,,1,,3,101,1,25,911
Cheetahs,1,8,403,50.4,,,3,64,1,10,,,2,28,,14,505
Brumbies,1,8,231,28.9,5,140,4,131,1,38,,,3,62,,21,602
Blues,1,9,388,43.1,3,82,5,127,1,16,,,1,31,,19,644
Stormers,1,18,696,38.7,3,107,4,127,3,47,,,3,38,1,31,1015
Bulls,1,12,558,46.5,7,192,5,136,,,,,2,61,1,26,947
Western Force,2,23,785,34.1,2,56,1,37,,,,,6,162,1,32,1040
Waratahs,2,13,459,35.3,,,2,34,,,,,2,42,,17,535
Stormers,2,16,585,36.6,2,74,4,84,,,,,,,2,22,743
Sharks,2,14,630,45,5,162,3,111,3,57,2,26,1,19,,28,1005
Reds,2,15,533,35.5,4,65,3,61,,,,,4,48,2,26,707
Rebels,2,7,300,42.9,4,150,7,196,2,25,,,1,14,1,21,685
Lions,2,4,130,32.5,1,27,2,41,,,,,1,32,,8,230
Jaguares,2,12,451,37.6,3,86,1,38,3,54,,,5,125,1,24,754
Hurricanes,2,14,460,32.9,7,200,4,74,,,1,10,8,134,,34,878
Highlanders,2,11,386,35.1,4,135,8,217,2,34,,,2,26,,27,798
Crusaders,2,12,507,42.3,,,3,80,,,,,2,45,1,17,632
Chiefs,2,6,268,44.7,,,3,86,,,,,3,53,,12,407
Cheetahs,2,11,464,42.2,,,4,90,,,,,1,21,,16,575
Bulls,2,6,246,41,3,109,6,145,5,78,,,4,83,1,24,661
Brumbies,2,5,111,22.2,4,125,7,117,2,32,1,20,5,102,,24,507
Blues,2,10,436,43.6,3,93,2,27,1,6,,,1,2,2,17,564
Western Force,3,11,416,37.8,3,71,,,4,32,,,2,51,,20,570
Sunwolves,3,15,721,48.1,5,129,3,23,,,1,17,5,86,1,29,976
Stormers,3,14,446,31.9,5,188,1,10,3,54,1,10,3,34,1,27,742
Sharks,3,12,441,36.8,4,104,3,97,,,2,27,4,66,,25,735
Reds,3,4,193,48.3,2,56,5,102,3,85,,,2,44,1,16,480
Rebels,3,9,352,39.1,2,54,,,2,35,,,6,156,,19,597
Lions,3,6,218,36.3,2,49,4,133,2,20,,,,,,14,420
Kings,3,7,248,35.4,2,63,2,28,1,20,,,2,74,,14,433
Hurricanes,3,10,376,37.6,5,142,3,85,1,21,,,3,59,,22,683
Highlanders,3,5,231,46.2,2,41,6,177,2,31,1,22,2,13,,18,515
Chiefs,3,8,355,44.4,1,30,,,1,11,,,1,28,,11,424
Cheetahs,3,13,723,55.6,,,5,99,1,39,,,4,123,,23,984
Brumbies,3,9,277,30.8,7,178,2,26,,,,,2,29,,20,510
Blues,3,7,281,40.1,1,20,3,57,4,52,1,-3,3,49,1,19,456
Western Force,4,15,624,41.6,1,17,1,31,2,54,1,17,,,,20,743
Waratahs,4,15,666,44.4,4,115,5,109,2,33,1,14,2,50,,29,987
Sunwolves,4,14,669,47.8,,,3,85,2,42,1,9,1,18,,21,823
Stormers,4,9,346,38.4,8,278,4,125,,,2,22,7,84,3,30,855
Sharks,4,15,621,41.4,,,8,225,2,46,1,29,3,22,1,29,943
Reds,4,5,215,43,2,48,7,183,1,19,,,1,11,,16,476
Rebels,4,21,665,31.7,,,3,128,3,53,,,3,45,,30,891
Lions,4,11,542,49.3,2,50,7,165,1,16,1,6,3,69,1,25,848
Kings,4,9,389,43.2,2,41,5,146,,,1,21,2,69,,19,666
Jaguares,4,4,114,28.5,1,27,,,2,44,,,4,63,1,11,248
Hurricanes,4,15,491,32.7,3,96,2,56,,,,,3,96,,23,739
Highlanders,4,8,348,43.5,9,233,9,266,6,166,1,-2,5,115,,38,1126
Crusaders,4,10,396,39.6,2,56,,,,,,,7,195,1,19,647
Chiefs,4,5,211,42.2,1,25,2,20,,,,,1,2,,9,258
Cheetahs,4,8,313,39.1,,,3,74,1,11,,,1,14,1,13,412
Bulls,4,7,340,48.6,8,193,7,187,,,,,,,,22,720
Brumbies,4,14,603,43.1,6,132,,,1,21,1,18,2,74,,24,848
Blues,4,10,317,31.7,2,58,3,111,3,70,,,3,58,,21,614
Waratahs,5,17,593,34.9,1,36,2,18,2,32,,,5,143,2,27,822
Sunwolves,5,5,188,37.6,1,18,2,75,6,127,,,5,79,1,19,487
Stormers,5,10,411,41.1,5,148,3,94,3,77,,,3,73,,24,803
Sharks,5,17,723,42.5,5,142,10,260,1,22,,,2,41,1,35,1188
Reds,5,9,347,38.6,2,46,6,133,1,25,,,4,81,,22,632
