Team,Round,lineOutOwnThrowWonNo,lineOutOwnThrowWonPerc,lineOutOwnThrowLostNo,lineOutOwnThrowLostPerc,lineOutOwnThrowTotal,lineOutOppositionThrowWonNo,lineOutOppositionThrowWonPerc,lineOutOppositionThrowLostNo,lineOutOppositionThrowLostPerc,lineOutOppositionThrowTotal,lineOutTotalWonNo,lineOutTotalWonPerc,lineOutTotalLostNo,lineOutTotalLostPerc,lineOutTotal
Waratahs,1,10,76.9,3,23.1,13,1,5.6,17,94.4,18,11,35.5,20,64.5,31
Sunwolves,1,4,57.1,3,42.9,7,,,12,100,12,4,21.1,15,78.9,19
Sharks,1,11,73.3,4,26.7,15,3,21.4,11,78.6,14,14,48.3,15,51.7,29
Reds,1,17,94.4,1,5.6,18,3,23.1,10,76.9,13,20,64.5,11,35.5,31
Rebels,1,8,80,2,20,10,1,5.3,18,94.7,19,9,31,20,69,29
Lions,1,12,100,,,12,3,42.9,4,57.1,7,15,78.9,4,21.1,19
Kings,1,11,78.6,3,21.4,14,4,26.7,11,73.3,15,15,51.7,14,48.3,29
Jaguares,1,12,85.7,2,14.3,14,1,10,9,90,10,13,54.2,11,45.8,24
Hurricanes,1,12,92.3,1,7.7,13,,,11,100,11,12,50,12,50,24
Highlanders,1,8,72.7,3,27.3,11,,,14,100,14,8,32,17,68,25
Western Force,1,18,94.7,1,5.3,19,2,20,8,80,10,20,69,9,31,29
Crusaders,1,11,91.7,1,8.3,12,1,9.1,10,90.9,11,12,52.2,11,47.8,23
Chiefs,1,10,90.9,1,9.1,11,1,8.3,11,91.7,12,11,47.8,12,52.2,23
Cheetahs,1,9,90,1,10,10,2,14.3,12,85.7,14,11,45.8,13,54.2,24
Brumbies,1,11,100,,,11,1,7.7,12,92.3,13,12,50,12,50,24
Blues,1,14,100,,,14,3,27.3,8,72.7,11,17,68,8,32,25
Stormers,1,18,94.7,1,5.3,19,3,25,9,75,12,21,67.7,10,32.3,31
Bulls,1,9,75,3,25,12,1,5.3,18,94.7,19,10,32.3,21,67.7,31
Western Force,2,12,75,4,25,16,,,16,100,16,12,37.5,20,62.5,32
Waratahs,2,13,92.9,1,7.1,14,3,15,17,85,20,16,47.1,18,52.9,34
Stormers,2,13,81.3,3,18.8,16,8,34.8,15,65.2,23,21,53.8,18,46.2,39
Sharks,2,15,83.3,3,16.7,18,3,16.7,15,83.3,18,18,50,18,50,36
Reds,2,16,100,,,16,4,25,12,75,16,20,62.5,12,37.5,32
Rebels,2,11,84.6,2,15.4,13,1,8.3,11,91.7,12,12,48,13,52,25
Lions,2,5,71.4,2,28.6,7,2,18.2,9,81.8,11,7,38.9,11,61.1,18
Jaguares,2,15,83.3,3,16.7,18,3,16.7,15,83.3,18,18,50,18,50,36
Hurricanes,2,4,100,,,4,2,10.5,17,89.5,19,6,26.1,17,73.9,23
Highlanders,2,17,89.5,2,10.5,19,,,4,100,4,17,73.9,6,26.1,23
Crusaders,2,10,100,,,10,5,35.7,9,64.3,14,15,62.5,9,37.5,24
Chiefs,2,9,81.8,2,18.2,11,2,28.6,5,71.4,7,11,61.1,7,38.9,18
Cheetahs,2,15,65.2,8,34.8,23,3,18.8,13,81.3,16,18,46.2,21,53.8,39
Bulls,2,11,91.7,1,8.3,12,2,15.4,11,84.6,13,13,52,12,48,25
Brumbies,2,17,85,3,15,20,1,7.1,13,92.9,14,18,52.9,16,47.1,34
Blues,2,9,64.3,5,35.7,14,,,10,100,10,9,37.5,15,62.5,24
Western Force,3,10,76.9,3,23.1,13,1,5,19,95,20,11,33.3,22,66.7,33
Sunwolves,3,7,87.5,1,12.5,8,,,9,100,9,7,41.2,10,58.8,17
Stormers,3,13,92.9,1,7.1,14,1,10,9,90,10,14,58.3,10,41.7,24
Sharks,3,9,90,1,10,10,1,7.1,13,92.9,14,10,41.7,14,58.3,24
Reds,3,8,88.9,1,11.1,9,1,10,9,90,10,9,47.4,10,52.6,19
Rebels,3,9,90,1,10,10,1,11.1,8,88.9,9,10,52.6,9,47.4,19
Lions,3,9,81.8,2,18.2,11,1,8.3,11,91.7,12,10,43.5,13,56.5,23
Kings,3,13,86.7,2,13.3,15,,,11,100,11,13,50,13,50,26
Hurricanes,3,11,84.6,2,15.4,13,,,14,100,14,11,40.7,16,59.3,27
Highlanders,3,11,91.7,1,8.3,12,2,18.2,9,81.8,11,13,56.5,10,43.5,23
Chiefs,3,11,100,,,11,2,13.3,13,86.7,15,13,50,13,50,26
Cheetahs,3,9,100,,,9,1,12.5,7,87.5,8,10,58.8,7,41.2,17
Brumbies,3,19,95,1,5,20,3,23.1,10,76.9,13,22,66.7,11,33.3,33
Blues,3,14,100,,,14,2,15.4,11,84.6,13,16,59.3,11,40.7,27
Western Force,4,15,100,,,15,1,10,9,90,10,16,64,9,36,25
Waratahs,4,12,80,3,20,15,2,15.4,11,84.6,13,14,50,14,50,28
Sunwolves,4,11,78.6,3,21.4,14,1,10,9,90,10,12,50,12,50,24
Stormers,4,14,87.5,2,12.5,16,4,44.4,5,55.6,9,18,72,7,28,25
Sharks,4,11,84.6,2,15.4,13,1,5.9,16,94.1,17,12,40,18,60,30
Reds,4,14,73.7,5,26.3,19,,,6,100,6,14,56,11,44,25
Rebels,4,9,90,1,10,10,3,21.4,11,78.6,14,12,50,12,50,24
Lions,4,10,100,,,10,2,10,18,90,20,12,40,18,60,30
Kings,4,16,88.9,2,11.1,18,1,16.7,5,83.3,6,17,70.8,7,29.2,24
Jaguares,4,7,77.8,2,22.2,9,,,3,100,3,7,58.3,5,41.7,12
Hurricanes,4,9,90,1,10,10,,,15,100,15,9,36,16,64,25
Highlanders,4,11,84.6,2,15.4,13,3,20,12,80,15,14,50,14,50,28
Crusaders,4,5,83.3,1,16.7,6,2,11.1,16,88.9,18,7,29.2,17,70.8,24
Chiefs,4,3,100,,,3,2,22.2,7,77.8,9,5,41.7,7,58.3,12
Cheetahs,4,18,90,2,10,20,,,10,100,10,18,60,12,40,30
Bulls,4,16,94.1,1,5.9,17,2,15.4,11,84.6,13,18,60,12,40,30
Brumbies,4,5,55.6,4,44.4,9,2,12.5,14,87.5,16,7,28,18,72,25
Blues,4,6,100,,,6,5,26.3,14,73.7,19,11,44,14,56,25
Waratahs,5,10,71.4,4,28.6,14,,,16,100,16,10,33.3,20,66.7,30
Sunwolves,5,7,63.6,4,36.4,11,,,14,100,14,7,28,18,72,25
Stormers,5,8,80,2,20,10,4,23.5,13,76.5,17,12,44.4,15,55.6,27
Sharks,5,19,79.2,5,20.8,24,2,13.3,13,86.7,15,21,53.8,18,46.2,39
Reds,5,16,100,,,16,4,28.6,10,71.4,14,20,66.7,10,33.3,30
Rebels,5,10,71.4,4,28.6,14,,,14,100,14,10,35.7,18,64.3,28
Kings,5,10,71.4,4,28.6,14,1,11.1,8,88.9,9,11,47.8,12,52.2,23
Jaguares,5,13,76.5,4,23.5,17,2,20,8,80,10,15,55.6,12,44.4,27
Hurricanes,5,8,88.9,1,11.1,9,4,28.6,10,71.4,14,12,52.2,11,47.8,23
Highlanders,5,14,100,,,14,4,28.6,10,71.4,14,18,64.3,10,35.7,28
Force,5,12,100,,,12,,,11,100,11,12,52.2,11,47.8,23
Crusaders,5,13,86.7,2,13.3,15,5,20.8,19,79.2,24,18,46.2,21,53.8,39
Chiefs,5,11,100,,,11,,,12,100,12,11,47.8,12,52.2,23
Cheetahs,5,21,95.5,1,4.5,22,3,23.1,10,76.9,13,24,68.6,11,31.4,35
Bulls,5,14,100,,,14,4,36.4,7,63.6,11,18,72,7,28,25
Brumbies,5,10,76.9,3,23.1,13,1,4.5,21,95.5,22,11,31.4,24,68.6,35
