Team,Round,points,tries,conversions,penaltyGoals,goalKickPercentage,dropGoals
Waratahs,1,30,4,2,2,66.7,
Sunwolves,1,18,2,1,2,75,
Sharks,1,43,6,5,1,85.7,
Reds,1,10,1,1,1,66.7,
Rebels,1,25,3,2,2,66.7,
Lions,1,26,4,3,,50,
Kings,1,8,1,,1,25,
Jaguares,1,39,5,4,1,83.3,1
Hurricanes,1,10,1,1,1,66.7,
Highlanders,1,31,4,4,1,71.4,
Western Force,1,19,1,1,4,100,
Crusaders,1,21,2,1,3,66.7,
Chiefs,1,27,4,2,1,50,
Cheetahs,1,33,4,2,3,55.6,
Brumbies,1,52,7,7,1,88.9,
Blues,1,33,3,3,4,77.8,
Stormers,1,33,3,3,4,100,
Bulls,1,9,,,3,100,
Western Force,2,22,1,1,5,100,
Waratahs,2,15,2,1,1,50,
Stormers,2,20,2,2,2,100,
Sharks,2,19,1,1,4,83.3,
Reds,2,6,,,2,50,
Rebels,2,25,4,1,1,33.3,
Lions,2,36,4,2,4,66.7,
Jaguares,2,15,2,1,1,66.7,
Hurricanes,2,16,1,1,3,80,
Highlanders,2,17,1,,4,80,
Crusaders,2,28,3,2,3,62.5,
Chiefs,2,32,4,3,2,83.3,
Cheetahs,2,10,1,1,1,66.7,
Bulls,2,45,6,6,1,87.5,
Brumbies,2,32,4,3,2,83.3,
Blues,2,13,1,1,2,100,
Western Force,3,14,2,2,,100,
Sunwolves,3,31,4,4,1,71.4,
Stormers,3,13,1,1,2,75,
Sharks,3,18,2,1,2,60,
Reds,3,23,2,2,3,100,
Rebels,3,25,1,1,6,77.8,
Lions,3,15,2,1,1,66.7,
Kings,3,24,2,1,4,83.3,
Hurricanes,3,23,3,1,2,50,
Highlanders,3,34,4,4,1,100,1
Chiefs,3,58,7,7,3,100,
Cheetahs,3,32,4,3,2,83.3,
Brumbies,3,31,4,4,1,100,
Blues,3,19,2,,3,42.9,
Western Force,4,6,,,2,66.7,
Waratahs,4,26,4,3,,50,
Sunwolves,4,9,,,3,100,
Stormers,4,31,3,2,4,75,
Sharks,4,16,1,1,3,80,
Reds,4,25,3,2,2,57.1,
Rebels,4,35,4,3,3,85.7,
