Team,Round,insideOwn22mH1,insideOwn22mH2,insideOwn22mTotal,insideOwn22mPerc,own22mTo50mH1,own22mTo50mH2,own22mTo50mTotal,own22mto50mPerc,50mToOpp22mH1,50mToOpp22mH2,50mToOpp22mTotal,50mToOpp22mPerc,insideOpp22mH1,insideOpp22mH2,insideOpp22mTotal,insideOpp22mPerc,totalPossesionH1,totalPossesionH2,totalPossesionTotal,totalPossesionPerc
Waratahs,1,2:36,1:12,3:48,11.8,1:48,1:56,3:44,11.6,2:44,1:08,3:52,12,1:11,0:21,1:32,4.7,8:19,4:38,12:57,40.1
Sunwolves,1,1:40,2:33,4:13,13.4,1:26,3:24,4:49,15.4,2:36,1:29,4:05,13.1,1:31,0:40,2:11,7,7:13,8:05,15:18,48.8
Sharks,1,1:18,2:52,4:10,15.1,1:44,1:18,3:02,11.1,2:07,2:15,4:22,15.9,0:47,2:24,3:11,11.6,5:56,8:49,14:45,53.7
Reds,1,1:37,1:41,3:18,10.2,0:42,2:32,3:14,10,4:20,2:09,6:30,20.1,1:48,4:31,6:20,19.6,8:28,10:53,19:21,59.9
Rebels,1,2:07,1:07,3:14,9,3:07,1:12,4:19,11.9,2:43,3:32,6:15,17.3,1:30,1:52,3:22,9.3,9:27,7:44,17:11,47.6
Lions,1,1:39,0:49,2:28,7.9,2:29,2:19,4:48,15.3,2:50,2:44,5:34,17.8,1:46,1:26,3:12,10.2,8:45,7:17,16:02,51.2
Kings,1,1:01,2:18,3:19,12,1:42,1:05,2:47,10.2,1:52,2:39,4:31,16.4,0:52,1:14,2:06,7.7,5:27,7:16,12:43,46.3
Jaguares,1,1:14,1:59,3:12,9.8,2:26,1:32,3:59,12.2,3:01,2:51,5:52,18.1,2:05,2:29,4:34,14.1,8:46,8:51,17:37,54.2
Hurricanes,1,1:35,1:36,3:11,12.1,2:08,1:12,3:20,12.7,2:58,0:55,3:53,14.7,0:15,2:23,2:38,9.9,6:56,6:06,13:02,49.4
Highlanders,1,1:23,0:50,2:14,7.2,1:51,1:33,3:24,10.9,2:06,1:01,3:07,10,1:25,1:44,3:09,10.1,6:45,5:09,11:54,38.2
Western Force,1,1:40,1:02,2:42,7.5,3:06,1:17,4:23,12.1,3:32,6:01,9:33,26.4,1:18,1:01,2:19,6.4,9:35,9:22,18:57,52.4
Crusaders,1,1:42,1:22,3:03,10.9,2:35,1:57,4:32,16.2,2:00,1:04,3:05,11,0:52,0:28,1:20,4.8,7:09,4:51,12:00,42.9
Chiefs,1,2:24,1:52,4:17,15.3,2:20,2:38,4:58,17.8,1:54,2:48,4:42,16.8,0:14,1:49,2:03,7.3,6:53,9:07,16:00,57.1
Cheetahs,1,1:16,2:21,3:37,11.2,1:57,2:31,4:28,13.7,1:00,3:37,4:36,14.2,1:19,0:53,2:12,6.7,5:32,9:21,14:53,45.8
Brumbies,1,1:54,1:54,3:49,14.5,1:32,1:50,3:22,12.8,2:18,1:43,4:00,15.2,1:07,1:04,2:11,8.3,6:51,6:31,13:22,50.6
Blues,1,1:47,2:57,4:44,15.2,3:14,1:25,4:39,15,3:18,2:57,6:16,20.1,0:22,3:12,3:34,11.5,8:41,10:32,19:13,61.8
Stormers,1,2:06,1:29,3:35,10.4,4:46,1:17,6:03,17.6,2:00,3:46,5:47,16.7,0:57,2:27,3:24,9.9,9:49,9:00,18:49,54.5
Bulls,1,1:32,1:56,3:28,10.1,2:51,1:54,4:44,13.7,4:00,1:26,5:27,15.8,0:29,1:32,2:02,5.9,8:52,6:49,15:41,45.5
Western Force,2,1:42,2:31,4:13,12.4,1:37,2:06,3:43,11,3:31,3:09,6:40,19.7,0:48,1:57,2:45,8.1,7:38,9:43,17:21,51.2
Waratahs,2,1:54,1:48,3:42,11.9,1:30,0:56,2:26,7.8,1:52,1:08,3:00,9.7,0:39,2:22,3:01,9.7,5:55,6:14,12:09,39.1
Stormers,2,2:27,2:58,5:25,17.4,2:12,2:16,4:29,14.4,4:32,2:58,7:29,24,0:32,2:08,2:39,8.5,9:43,10:19,20:02,64.3
Sharks,2,0:38,1:55,2:33,8.3,1:21,2:20,3:42,12,2:22,3:49,6:11,20,2:10,1:10,3:20,10.8,6:31,9:15,15:46,51.1
Reds,2,2:32,1:53,4:25,13.1,3:32,3:12,6:44,19.9,2:08,2:28,4:36,13.6,0:34,0:14,0:48,2.3,8:47,7:46,16:33,48.8
Rebels,2,1:54,2:40,4:33,12.9,1:20,2:46,4:06,11.6,3:17,2:30,5:47,16.4,0:22,1:52,2:14,6.3,6:52,9:47,16:39,47.3
Lions,2,1:16,2:45,4:00,17.5,0:56,1:18,2:13,9.7,1:28,1:47,3:15,14.2,1:12,1:36,2:48,12.3,4:51,7:25,12:16,53.7
Jaguares,2,2:56,1:26,4:22,14.1,3:32,3:08,6:40,21.6,0:54,2:39,3:33,11.5,0:28,0:04,0:32,1.7,7:51,7:16,15:07,48.9
Hurricanes,2,2:55,2:34,5:29,18.3,2:40,2:01,4:41,15.6,2:58,1:48,4:46,15.9,1:06,1:23,2:29,8.3,9:39,7:46,17:25,58.2
Highlanders,2,0:51,1:21,2:12,7.3,2:01,1:03,3:04,10.2,2:02,2:17,4:19,14.4,1:32,1:25,2:58,9.9,6:26,6:06,12:32,41.8
Crusaders,2,0:34,2:28,3:02,10.1,1:06,2:08,3:14,10.7,3:32,4:18,7:50,25.9,2:25,3:31,5:56,19.6,7:37,12:25,20:02,66.3
Chiefs,2,0:55,1:20,2:15,9.8,1:54,0:39,2:33,11.2,2:07,1:07,3:14,14.2,0:38,1:54,2:32,11.1,5:34,5:00,10:34,46.3
Cheetahs,2,1:21,1:10,2:31,8.1,1:48,1:12,3:00,9.7,1:15,2:00,3:15,10.4,1:13,1:07,2:20,7.5,5:38,5:29,11:07,35.7
Bulls,2,3:21,1:42,5:04,14.4,2:57,1:39,4:37,13.1,2:49,2:39,5:28,15.5,0:30,2:55,3:25,9.7,9:38,8:56,18:34,52.7
Brumbies,2,2:35,2:06,4:40,15,2:08,2:51,4:59,16.1,3:10,3:12,6:23,20.6,1:46,1:06,2:52,9.2,9:39,9:15,18:54,60.9
Blues,2,1:38,1:52,3:29,11.5,1:46,1:32,3:18,11,1:22,1:16,2:38,8.7,0:10,0:34,0:44,2.4,4:57,5:13,10:10,33.7
Western Force,3,1:28,3:22,4:50,14,0:58,1:33,2:31,7.3,1:59,2:09,4:08,12,2:48,0:02,2:50,8.2,7:13,7:06,14:19,41.5
Sunwolves,3,2:20,1:18,3:38,12.2,2:04,1:12,3:16,10.9,4:01,1:43,5:44,19.2,0:53,0:18,1:11,3.9,9:18,4:31,13:49,46.2
Stormers,3,2:12,2:30,4:42,14.7,2:15,2:56,5:10,16.2,3:39,4:02,7:41,24,0:48,1:06,1:54,5.9,8:53,10:34,19:27,60.8
Sharks,3,1:22,1:12,2:34,8,0:58,1:25,2:24,7.5,3:12,2:34,5:46,18,0:37,1:12,1:48,5.7,6:10,6:23,12:33,39.2
