Team,Round,lineBreaks,gainLine,overAdvPercentage,phasesPerPoss,phase1,phase2,phase3,phase4,phase5,phase6,phase7,phase8,phase9Plus,totalPoss,totalPhases
Blue Bulls,1,11,37,67.3,2.3,16,14,7,4,3,,,1,,45,104
Boland Kavaliers,1,2,28,43.1,2.9,12,9,4,3,1,1,,,2,32,92
Free State Cheetahs,1,12,49,60.5,2.7,14,8,8,3,2,4,,1,,40,108
Natal Sharks,1,9,41,67.2,2.3,21,11,5,6,1,2,,1,,47,107
Pumas,1,2,32,43.8,2.9,18,5,6,3,3,3,1,,2,41,119
Western Province,1,8,46,51.7,3.1,15,7,9,5,2,1,1,,3,43,134
Blue Bulls,2,13,55,51.9,3.5,12,15,4,1,3,1,4,,4,44,152
Boland Kavaliers,2,15,46,56.1,2.5,17,16,10,8,1,1,1,1,,55,137
Eastern Province Kings,2,6,40,54.8,2.4,21,14,5,2,6,1,1,1,,51,123
Free State Cheetahs,2,8,42,61.8,2.3,20,17,6,2,1,1,1,2,,50,114
Golden Lions,2,13,46,61.3,3,14,10,10,3,,,1,1,3,42,125
Griquas,2,7,34,58.6,2.5,13,15,8,4,5,1,,,,46,114
Natal Sharks,2,9,36,53.7,2.3,21,15,11,5,1,1,1,1,,56,130
Pumas,2,5,35,53,2.5,16,6,6,2,1,,1,1,1,34,84
Blue Bulls,3,6,47,70.1,2.5,12,19,6,1,1,3,1,,1,44,112
Boland Kavaliers,3,11,25,43.1,2.1,21,14,5,4,1,1,,,1,47,100
Eastern Province Kings,3,2,37,64.9,2.6,11,15,6,2,,3,,1,1,39,102
Free State Cheetahs,3,3,30,62.5,2.1,23,20,7,1,3,2,,,,56,115
Golden Lions,3,9,52,73.2,2.9,11,8,12,5,1,,1,1,1,40,114
Griquas,3,5,50,60.2,3.3,15,7,5,4,2,,,2,3,38,125
Natal Sharks,3,9,45,66.2,2.3,25,12,3,4,1,2,1,1,1,50,116
Western Province,3,7,40,43,2.8,18,10,11,3,4,3,1,1,1,52,146
Blue Bulls,4,1,40,56.3,2.7,19,9,12,5,,1,,2,2,50,136
Boland Kavaliers,4,4,30,52.6,2.4,16,7,6,2,1,2,1,1,,36,88
Eastern Province Kings,4,6,41,58.6,2.4,18,16,7,5,1,3,,,1,51,124
Golden Lions,4,8,56,61.5,2.9,16,12,6,2,3,,2,2,2,45,130
Griquas,4,9,34,56.7,2.5,14,11,9,1,2,,2,1,,40,99
Natal Sharks,4,3,30,54.5,2.4,16,17,12,1,2,1,,,1,50,118
Pumas,4,1,38,61.3,3,10,8,9,4,1,4,1,1,,38,113
Western Province,4,14,46,62.2,2.5,15,23,8,3,1,,1,2,1,54,137
Blue Bulls,5,9,25,54.3,2.2,15,18,4,1,,,,,2,40,89
Boland Kavaliers,5,2,33,55.9,2.2,19,12,10,4,3,1,,,,49,110
Eastern Province Kings,5,5,33,53.2,2.9,11,12,4,2,1,2,1,,2,35,102
Free State Cheetahs,5,16,52,78.8,2.3,18,12,5,4,4,1,,,,44,99
Golden Lions,5,6,43,48.3,3.2,9,12,5,5,6,1,1,1,1,41,133
Natal Sharks,5,9,54,58.7,3.1,14,9,7,6,2,3,3,2,,46,142
Pumas,5,4,42,47.2,2.8,17,11,6,4,2,,1,,2,43,119
Western Province,5,7,38,65.5,2.3,17,11,11,,4,,,,1,44,101
Blue Bulls,6,13,35,62.5,2.2,19,13,12,2,2,2,,,,50,111
Boland Kavaliers,6,3,13,36.1,2.3,12,10,7,1,1,1,,1,,33,76
Free State Cheetahs,6,5,21,52.5,1.9,18,15,5,2,2,,,,,42,81
Golden Lions,6,10,47,52.8,2.8,12,19,6,6,1,1,,1,1,47,131
Griquas,6,4,46,56.1,2.8,12,14,7,4,1,3,1,,2,44,125
Natal Sharks,6,2,31,49.2,2.8,12,11,5,4,4,2,,2,,40,113
Pumas,6,4,18,50,1.9,20,11,4,2,,1,1,,,39,75
Western Province,6,4,31,41.3,2.8,16,7,7,4,3,1,1,1,1,41,113
Blue Bulls,7,9,44,53.7,3,16,10,8,1,2,3,1,,3,44,130
Eastern Province Kings,7,3,19,37.3,2.2,19,9,5,4,2,1,,1,,41,92
Griquas,7,5,22,38.6,2.8,8,9,6,1,2,2,1,1,,30,85
Natal Sharks,7,5,34,50,2,29,17,4,3,1,1,2,,,57,112
Pumas,7,9,45,50,2.6,18,9,4,5,4,2,1,1,,44,115
Western Province,7,12,38,63.3,2.4,19,10,5,7,1,2,,,1,45,108
