Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Blue Bulls,1,97,9,107,23,86,551,21,37,11,70,60,,,,34,18,4,11,23.71,6.4,69.77,45,40.00
Boland Kavaliers,1,99,10,109,15,86,232,11,28,2,77,60,,,,21,14,1,11,15.15,2.7,69.77,32,43.75
Free State Cheetahs,1,157,13,170,14,122,598,26,49,12,89,77,,,,31,9,3,13,8.92,4.9,63.11,40,22.50
Natal Sharks,1,107,7,115,20,94,474,13,41,9,77,66,,,,31,19,3,10,18.69,5.0,70.21,47,40.43
Pumas,1,116,4,120,24,97,238,5,32,2,89,84,,,,32,14,3,7,20.69,2.5,86.60,41,34.15
Western Province,1,150,5,155,16,115,487,30,46,8,97,95,,,,33,16,2,8,10.67,4.2,82.61,43,37.21
Blue Bulls,2,178,13,195,22,147,585,35,55,13,128,108,,,,39,15,2,10,12.36,4.0,73.47,44,34.09
Boland Kavaliers,2,139,14,156,29,127,621,37,46,15,108,87,,,,48,24,3,10,20.86,4.9,68.50,55,43.64
Eastern Province Kings,2,133,2,135,30,104,451,11,40,6,82,77,,,,44,21,1,9,22.56,4.3,74.04,51,41.18
Free State Cheetahs,2,126,6,134,25,107,507,20,42,8,84,69,,,,38,18,1,10,19.84,4.7,64.49,50,36.00
Golden Lions,2,142,5,150,16,110,805,51,46,13,88,85,,,,41,17,2,8,11.27,7.3,77.27,42,40.48
Griquas,2,99,4,103,30,93,411,16,34,7,77,71,,,,45,16,4,11,30.30,4.4,76.34,46,34.78
Natal Sharks,2,101,7,110,32,108,509,23,36,9,86,79,,,,49,17,1,6,31.68,4.7,73.15,56,30.36
Pumas,2,102,2,105,16,80,287,9,35,5,67,66,,,,20,11,1,5,15.69,3.6,82.50,34,32.35
Blue Bulls,3,128,13,142,14,117,637,23,47,6,79,68,,,,38,20,4,10,10.94,5.4,58.12,44,45.45
Boland Kavaliers,3,99,14,117,21,101,500,27,25,11,75,54,,,,37,15,4,11,21.21,5.0,53.47,47,31.91
Eastern Province Kings,3,92,5,98,16,89,387,10,37,2,72,60,,,,24,9,1,7,17.39,4.3,67.42,39,23.08
Free State Cheetahs,3,99,11,114,27,86,418,15,30,3,70,61,,,,49,18,5,12,27.27,4.9,70.93,56,32.14
