Team,Round,tacklesMade,tacklesMissed,tacklesPen,tackles1st,tacklesAssist,tackles1stPerc,tacklesMadePerc,contestSuccesDom,contestSuccesNeut,contestSuccesPass,contestSuccesDNPerc,defenceRuckMaul,defenceRucksEff,defenceRucksIneff,defenceRucksInv,defenceRucksTOFrc,lineOutStls,defenceScrumWins,defenceTOForced,defencePFAtt,defencePFDef,defencePFTotal,totalTackles,turnOversForced
Blue Bulls,1,131,30,3,97,34,76.4,79.9,15,76,73,55.5,95,,,,11,2,,13,,,7,161,13
Boland Kavaliers,1,117,26,5,89,28,77.4,79.1,13,64,71,52,77,,,,8,1,,9,,,10,143,9
Free State Cheetahs,1,98,11,1,77,21,87.5,89.1,7,60,43,60.9,60,,,,2,2,,4,,,10,109,4
Natal Sharks,1,106,5,2,89,17,94.7,93.8,20,70,23,79.6,84,,,,7,3,4,10,,,7,111,14
Pumas,1,93,13,,77,16,85.6,87.7,8,56,42,60.4,66,,,,7,,,7,,,4,106,7
Western Province,1,90,21,1,70,20,76.9,80.4,8,50,54,51.8,60,,,,6,2,1,8,,,6,111,9
Blue Bulls,2,102,20,2,84,18,80.8,82.3,8,61,55,55.6,69,,,,6,1,,7,,,8,122,7
Boland Kavaliers,2,104,11,5,82,22,88.2,86.7,15,71,34,71.7,77,,,,11,2,,13,,,7,115,13
Eastern Province Kings,2,126,37,4,108,18,74.5,75.4,3,66,98,41.3,87,,,,8,,,8,,,8,163,8
Free State Cheetahs,2,162,35,3,128,34,78.5,81,9,99,92,54,108,,,,6,2,,8,,,9,197,8
Golden Lions,2,85,9,3,67,18,88.2,87.6,4,58,35,63.9,66,,,,2,1,2,3,,,6,94,5
Griquas,2,102,23,1,86,16,78.9,81,3,84,39,69,79,,,,2,,,2,,,7,125,2
Natal Sharks,2,100,16,,77,23,82.8,86.2,5,86,25,78.4,71,,,,5,5,3,10,,,5,116,13
Pumas,2,112,51,1,88,24,63.3,68.3,7,71,86,47.6,85,,,,4,1,,5,,,4,163,5
