Team,Round,kicksTerritorialTot,kicksTerritorialDist,kicksTerritorialAvg,kicksBombTot,kicksBombDist,kicksBoxTot,kicksBoxDist,kicksChipTot,kicksChipDist,kicksCrossFieldTot,kicksCrossFieldDist,kicksLowTot,kicksLowDist,kicksChgdDown,kicksTotal,kicksTotalDist
Blue Bulls,1,14,530,37.9,2,50,3,71,2,51,,,2,57,,23,759
Boland Kavaliers,1,8,320,40,,,1,18,3,51,,,3,49,,15,438
Free State Cheetahs,1,5,266,53.2,,,4,95,2,57,1,17,2,44,,14,479
Natal Sharks,1,12,530,44.2,,,5,144,1,14,,,2,49,,20,737
Pumas,1,15,483,32.2,1,27,2,64,4,59,,,2,63,,24,696
Western Province,1,12,505,42.1,,,,,1,19,,,3,58,,16,582
Blue Bulls,2,14,491,35.1,1,34,4,94,1,23,1,21,1,42,,22,705
Boland Kavaliers,2,18,746,41.4,3,80,2,2,2,28,,,4,72,1,29,928
Eastern Province Kings,2,18,654,36.3,2,71,4,46,,,,,6,155,3,30,926
Free State Cheetahs,2,16,663,41.4,,,7,187,2,43,,,,,,25,893
Golden Lions,2,11,524,47.6,,,2,29,,,,,3,43,1,16,596
Griquas,2,11,399,36.3,3,104,5,94,8,148,,,3,32,,30,777
Natal Sharks,2,17,648,38.1,5,107,4,119,2,36,,,4,98,,32,1008
Pumas,2,7,279,39.9,2,65,5,166,,,,,2,30,,16,540
Blue Bulls,3,5,207,41.4,1,30,3,63,1,21,,,4,63,,14,384
Boland Kavaliers,3,14,641,45.8,2,45,1,33,3,42,,,1,24,,21,785
Eastern Province Kings,3,8,398,49.8,2,70,4,73,2,55,,,,,,16,596
Free State Cheetahs,3,20,829,41.5,,,5,142,,,,,2,57,,27,1028
Golden Lions,3,5,234,46.8,1,31,,,2,43,,,2,50,,10,358
Griquas,3,10,391,39.1,2,78,3,53,1,28,,,1,-1,,17,549
Natal Sharks,3,13,583,44.8,2,61,4,133,1,51,,,,,,20,828
Western Province,3,20,932,46.6,2,45,1,3,2,37,,,2,58,1,27,1075
Blue Bulls,4,9,474,52.7,6,175,9,211,3,69,1,18,6,116,,34,1063
Boland Kavaliers,4,12,471,39.3,1,39,1,18,3,90,,,2,33,,19,651
Eastern Province Kings,4,14,441,31.5,1,26,7,180,2,47,,,2,24,1,26,718
Golden Lions,4,10,379,37.9,,,,,,,,,5,153,,15,532
Griquas,4,4,153,38.3,2,21,3,92,1,31,,,1,20,,11,317
Natal Sharks,4,18,767,42.6,1,17,10,285,1,25,,,5,132,,35,1226
Pumas,4,10,457,45.7,1,33,3,46,,,1,29,3,109,,18,674
Western Province,4,13,493,37.9,3,100,,,3,68,,,2,21,,21,682
Blue Bulls,5,13,464,35.7,1,26,3,65,1,56,,,3,113,,21,724
Boland Kavaliers,5,17,610,35.9,3,62,4,109,3,68,,,2,49,,29,898
Eastern Province Kings,5,13,526,40.5,3,99,2,54,,,,,,,,18,679
Free State Cheetahs,5,13,675,51.9,,,2,51,,,,,4,83,2,19,809
Golden Lions,5,4,154,38.5,,,1,27,2,39,,,,,,7,220
Natal Sharks,5,13,551,42.4,2,60,6,164,1,22,,,2,12,2,24,809
Pumas,5,15,636,42.4,1,21,1,,1,19,,,1,45,,19,721
Western Province,5,15,520,34.7,6,236,3,98,2,47,1,7,5,57,3,32,965
Blue Bulls,6,8,278,34.8,1,26,2,59,2,45,2,74,4,69,,19,551
Boland Kavaliers,6,9,331,36.8,,,1,22,1,15,1,14,1,24,,13,406
Free State Cheetahs,6,6,222,37,1,19,4,104,,,1,23,8,169,4,20,537
Golden Lions,6,12,655,54.6,,,2,28,4,68,,,3,93,,21,844
Griquas,6,2,101,50.5,,,3,74,2,41,,,2,34,,9,250
Natal Sharks,6,8,334,41.8,,,4,53,1,47,,,2,86,3,15,520
Pumas,6,7,272,38.9,3,72,1,34,3,71,,,4,49,1,18,498
Western Province,6,8,464,58,1,33,1,42,3,101,1,6,3,111,,17,757
Blue Bulls,7,7,339,48.4,2,67,4,99,,,,,2,-7,,15,498
Eastern Province Kings,7,10,357,35.7,4,129,4,82,1,37,,,2,48,,21,653
Griquas,7,5,160,32,1,37,2,3,,,1,63,3,11,,12,274
Natal Sharks,7,13,602,46.3,,,6,184,3,62,,,1,39,,23,887
Pumas,7,10,453,45.3,4,98,3,80,,,,,3,34,2,20,665
Western Province,7,9,386,42.9,1,26,1,20,2,55,,,2,32,,15,519
