Team,Round,lineOutOwnThrowWonNo,lineOutOwnThrowWonPerc,lineOutOwnThrowLostNo,lineOutOwnThrowLostPerc,lineOutOwnThrowTotal,lineOutOppositionThrowWonNo,lineOutOppositionThrowWonPerc,lineOutOppositionThrowLostNo,lineOutOppositionThrowLostPerc,lineOutOppositionThrowTotal,lineOutTotalWonNo,lineOutTotalWonPerc,lineOutTotalLostNo,lineOutTotalLostPerc,lineOutTotal
Blue Bulls,1,14,87.5,2,12.5,16,2,12.5,14,87.5,16,16,50,16,50,32
Boland Kavaliers,1,9,75,3,25,12,2,15.4,11,84.6,13,11,44,14,56,25
Free State Cheetahs,1,11,84.6,2,15.4,13,3,25,9,75,12,14,56,11,44,25
Natal Sharks,1,11,91.7,1,8.3,12,5,29.4,12,70.6,17,16,55.2,13,44.8,29
Pumas,1,12,70.6,5,29.4,17,1,8.3,11,91.7,12,13,44.8,16,55.2,29
Western Province,1,14,87.5,2,12.5,16,2,12.5,14,87.5,16,16,50,16,50,32
Blue Bulls,2,10,66.7,5,33.3,15,1,5.9,16,94.1,17,11,34.4,21,65.6,32
Boland Kavaliers,2,16,100,,,16,2,12.5,14,87.5,16,18,56.3,14,43.8,32
Eastern Province Kings,2,14,87.5,2,12.5,16,,,16,100,16,14,43.8,18,56.3,32
Free State Cheetahs,2,16,94.1,1,5.9,17,5,33.3,10,66.7,15,21,65.6,11,34.4,32
Golden Lions,2,7,87.5,1,12.5,8,4,26.7,11,73.3,15,11,47.8,12,52.2,23
Griquas,2,10,62.5,6,37.5,16,,,15,100,15,10,32.3,21,67.7,31
Natal Sharks,2,15,100,,,15,6,37.5,10,62.5,16,21,67.7,10,32.3,31
Pumas,2,11,73.3,4,26.7,15,1,12.5,7,87.5,8,12,52.2,11,47.8,23
Blue Bulls,3,13,81.3,3,18.8,16,4,44.4,5,55.6,9,17,68,8,32,25
Boland Kavaliers,3,7,70,3,30,10,1,8.3,11,91.7,12,8,36.4,14,63.6,22
Eastern Province Kings,3,5,55.6,4,44.4,9,3,18.8,13,81.3,16,8,32,17,68,25
Free State Cheetahs,3,12,75,4,25,16,6,28.6,15,71.4,21,18,48.6,19,51.4,37
Golden Lions,3,13,81.3,3,18.8,16,1,12.5,7,87.5,8,14,58.3,10,41.7,24
Griquas,3,7,87.5,1,12.5,8,3,18.8,13,81.3,16,10,41.7,14,58.3,24
Natal Sharks,3,11,91.7,1,8.3,12,3,30,7,70,10,14,63.6,8,36.4,22
Western Province,3,15,71.4,6,28.6,21,4,25,12,75,16,19,51.4,18,48.6,37
Blue Bulls,4,16,84.2,3,15.8,19,,,4,100,4,16,69.6,7,30.4,23
Boland Kavaliers,4,9,64.3,5,35.7,14,2,14.3,12,85.7,14,11,39.3,17,60.7,28
Eastern Province Kings,4,13,86.7,2,13.3,15,3,17.6,14,82.4,17,16,50,16,50,32
Golden Lions,4,12,85.7,2,14.3,14,5,35.7,9,64.3,14,17,60.7,11,39.3,28
Griquas,4,12,85.7,2,14.3,14,3,30,7,70,10,15,62.5,9,37.5,24
Natal Sharks,4,4,100,,,4,3,15.8,16,84.2,19,7,30.4,16,69.6,23
Pumas,4,7,70,3,30,10,2,14.3,12,85.7,14,9,37.5,15,62.5,24
Western Province,4,14,82.4,3,17.6,17,2,13.3,13,86.7,15,16,50,16,50,32
Blue Bulls,5,8,88.9,1,11.1,9,3,16.7,15,83.3,18,11,40.7,16,59.3,27
Boland Kavaliers,5,14,93.3,1,6.7,15,3,16.7,15,83.3,18,17,51.5,16,48.5,33
Eastern Province Kings,5,10,83.3,2,16.7,12,,,11,100,11,10,43.5,13,56.5,23
Free State Cheetahs,5,11,100,,,11,2,16.7,10,83.3,12,13,56.5,10,43.5,23
Golden Lions,5,15,83.3,3,16.7,18,1,11.1,8,88.9,9,16,59.3,11,40.7,27
Natal Sharks,5,14,87.5,2,12.5,16,4,23.5,13,76.5,17,18,54.5,15,45.5,33
Pumas,5,15,83.3,3,16.7,18,1,6.7,14,93.3,15,16,48.5,17,51.5,33
Western Province,5,13,76.5,4,23.5,17,2,12.5,14,87.5,16,15,45.5,18,54.5,33
Blue Bulls,6,11,84.6,2,15.4,13,3,20,12,80,15,14,50,14,50,28
Boland Kavaliers,6,6,75,2,25,8,,,17,100,17,6,24,19,76,25
Free State Cheetahs,6,9,90,1,10,10,1,10,9,90,10,10,50,10,50,20
Golden Lions,6,7,100,,,7,4,23.5,13,76.5,17,11,45.8,13,54.2,24
Griquas,6,17,100,,,17,2,25,6,75,8,19,76,6,24,25
Natal Sharks,6,9,90,1,10,10,1,10,9,90,10,10,50,10,50,20
Pumas,6,12,80,3,20,15,2,15.4,11,84.6,13,14,50,14,50,28
Western Province,6,13,76.5,4,23.5,17,,,7,100,7,13,54.2,11,45.8,24
Blue Bulls,7,13,100,,,13,5,38.5,8,61.5,13,18,69.2,8,30.8,26
Eastern Province Kings,7,8,66.7,4,33.3,12,1,6.3,15,93.8,16,9,32.1,19,67.9,28
Griquas,7,8,61.5,5,38.5,13,,,13,100,13,8,30.8,18,69.2,26
Natal Sharks,7,15,93.8,1,6.3,16,4,33.3,8,66.7,12,19,67.9,9,32.1,28
Pumas,7,13,100,,,13,5,27.8,13,72.2,18,18,58.1,13,41.9,31
Western Province,7,13,72.2,5,27.8,18,,,13,100,13,13,41.9,18,58.1,31
