Team,Round,insideOwn22mH1,insideOwn22mH2,insideOwn22mTotal,insideOwn22mPerc,own22mTo50mH1,own22mTo50mH2,own22mTo50mTotal,own22mto50mPerc,50mToOpp22mH1,50mToOpp22mH2,50mToOpp22mTotal,50mToOpp22mPerc,insideOpp22mH1,insideOpp22mH2,insideOpp22mTotal,insideOpp22mPerc,totalPossesionH1,totalPossesionH2,totalPossesionTotal,totalPossesionPerc
Blue Bulls,1,2:40,0:21,3:01,9.7,1:47,1:34,3:21,10.7,2:58,1:16,4:14,13.6,1:11,0:52,2:02,6.5,8:36,4:02,12:38,40.4
Boland Kavaliers,1,1:53,1:20,3:13,11.7,1:39,1:32,3:11,11.6,3:04,0:30,3:34,13,0:13,1:22,1:36,5.8,6:49,4:44,11:33,42.1
Free State Cheetahs,1,1:22,1:41,3:04,11.2,1:08,2:56,4:05,14.9,3:30,2:22,5:52,21.4,0:32,2:22,2:54,10.6,6:33,9:21,15:54,57.9
Natal Sharks,1,1:16,1:36,2:51,9.3,1:56,2:36,4:32,14.8,3:22,3:15,6:37,21.7,0:36,0:31,1:07,3.7,7:10,7:57,15:07,49.5
Pumas,1,1:05,2:07,3:12,10.5,0:46,2:45,3:31,11.5,3:52,2:23,6:14,20.4,0:34,1:55,2:28,8.1,6:16,9:10,15:26,50.5
Western Province,1,1:16,1:43,2:59,9.6,1:19,4:26,5:45,18.4,2:12,1:42,3:54,12.5,1:53,4:06,5:58,19.1,6:40,11:56,18:36,59.6
Blue Bulls,2,3:09,3:43,6:52,19.9,1:48,1:59,3:47,11,2:32,2:58,5:30,16,2:00,1:53,3:53,11.3,9:29,10:33,20:02,58.2
Boland Kavaliers,2,1:40,1:58,3:37,10.2,2:50,2:36,5:25,15.3,3:28,2:37,6:05,17.1,2:12,1:03,3:15,9.2,10:08,8:14,18:22,51.7
Eastern Province Kings,2,2:06,1:08,3:14,9.1,3:16,1:50,5:06,14.4,3:28,2:53,6:22,17.9,1:04,1:23,2:26,6.9,9:54,7:14,17:08,48.3
Free State Cheetahs,2,2:14,2:01,4:15,12.3,1:30,2:14,3:44,10.8,0:48,2:19,3:06,9,2:04,1:14,3:18,9.6,6:36,7:48,14:24,41.8
Golden Lions,2,1:44,2:22,4:06,14.7,2:33,3:00,5:33,19.8,3:14,1:38,4:52,17.4,0:32,1:34,2:06,7.5,8:04,8:33,16:37,59.4
Griquas,2,1:40,3:04,4:44,13.8,0:45,2:58,3:43,10.8,1:58,2:32,4:30,13.1,0:27,3:02,3:28,10.1,4:51,11:35,16:26,47.8
Natal Sharks,2,2:45,2:02,4:47,13.9,1:38,2:46,4:24,12.8,2:38,2:20,4:58,14.5,2:25,1:21,3:46,11,9:26,8:29,17:55,52.2
Pumas,2,0:59,1:58,2:56,10.5,0:56,0:31,1:26,5.1,2:28,0:51,3:20,11.9,1:13,2:26,3:40,13.1,5:36,5:46,11:22,40.6
Blue Bulls,3,1:47,2:22,4:10,13.8,1:57,1:42,3:38,12,2:03,2:50,4:52,16.1,1:01,2:22,3:22,11.2,6:48,9:15,16:03,53.2
Boland Kavaliers,3,1:12,1:35,2:47,8.3,1:40,1:39,3:18,9.9,2:46,3:50,6:35,19.7,0:52,1:41,2:33,7.6,6:29,8:44,15:13,45.6
Eastern Province Kings,3,2:27,2:18,4:46,15.8,0:36,2:04,2:40,8.8,2:20,1:47,4:07,13.6,1:23,1:12,2:35,8.6,6:46,7:21,14:07,46.8
Free State Cheetahs,3,1:34,2:42,4:16,13.5,1:28,1:48,3:16,10.3,2:32,1:30,4:02,12.7,1:03,1:18,2:22,7.5,6:38,7:18,13:56,44
Golden Lions,3,2:14,1:50,4:04,13.4,3:00,1:20,4:20,14.3,1:16,1:42,2:58,9.8,0:38,2:22,3:00,9.9,7:07,7:15,14:22,47.3
Griquas,3,2:52,2:48,5:40,18.7,1:36,1:38,3:14,10.7,1:44,2:20,4:04,13.4,1:50,1:11,3:01,9.9,8:02,7:57,15:59,52.7
Natal Sharks,3,1:38,1:28,3:06,9.3,2:36,2:16,4:51,14.5,2:20,2:33,4:52,14.6,3:39,1:41,5:20,16,10:12,7:58,18:10,54.4
Western Province,3,1:50,3:55,5:45,18.2,1:40,2:13,3:53,12.3,2:32,3:11,5:44,18.1,1:22,1:00,2:22,7.5,7:24,10:19,17:43,56
Blue Bulls,4,1:04,2:26,3:30,10.3,1:24,2:21,3:46,11.1,2:26,3:59,6:25,18.9,1:51,2:56,4:47,14.1,6:45,11:42,18:27,54.3
Boland Kavaliers,4,0:44,1:52,2:36,7.9,1:40,1:13,2:53,8.8,1:09,2:46,3:54,11.9,1:09,1:24,2:33,7.8,4:42,7:14,11:56,36.4
Eastern Province Kings,4,1:36,2:27,4:02,11.7,1:33,3:18,4:51,14.1,1:46,2:31,4:17,12.4,0:14,1:55,2:10,6.3,5:09,10:11,15:20,44.4
Golden Lions,4,1:50,1:00,2:50,8.6,1:53,1:34,3:27,10.5,3:10,4:32,7:42,23.5,2:24,4:30,6:54,21,9:18,11:35,20:53,63.6
Griquas,4,1:30,0:40,2:10,8.3,1:21,1:03,2:24,9.2,4:40,1:54,6:34,25.1,0:48,0:30,1:17,4.9,8:18,4:07,12:25,47.5
Natal Sharks,4,2:00,1:52,3:53,11.4,2:34,2:44,5:18,15.6,3:56,0:34,4:30,13.2,1:26,0:26,1:52,5.5,9:57,5:36,15:33,45.7
Pumas,4,1:13,2:17,3:30,13.4,1:45,1:04,2:49,10.8,1:32,1:10,2:43,10.4,1:13,3:30,4:43,18,5:44,8:01,13:45,52.5
Western Province,4,1:06,1:10,2:15,6.5,2:07,2:23,4:29,13,3:46,2:51,6:37,19.2,3:16,2:33,5:49,16.9,10:14,8:56,19:10,55.6
Blue Bulls,5,2:41,2:34,5:16,18.3,2:04,1:08,3:12,11.1,1:52,1:30,3:22,11.7,0:44,0:42,1:25,4.9,7:21,5:54,13:15,46
Boland Kavaliers,5,1:32,1:42,3:14,9.3,1:35,2:22,3:58,11.4,3:12,1:52,5:04,14.6,1:06,2:44,3:50,11,7:25,8:40,16:05,46.3
Eastern Province Kings,5,1:18,1:50,3:08,11,0:42,0:54,1:36,5.6,1:50,3:12,5:02,17.7,0:46,2:34,3:19,11.6,4:36,8:30,13:06,45.9
Free State Cheetahs,5,1:32,2:13,3:44,13.1,0:52,2:45,3:37,12.7,2:06,2:04,4:10,14.6,2:32,1:22,3:54,13.7,7:01,8:24,15:25,54.1
Golden Lions,5,2:49,3:22,6:11,21.5,1:22,2:03,3:25,11.9,1:49,1:20,3:08,10.9,1:00,1:50,2:50,9.8,6:59,8:35,15:34,54
Natal Sharks,5,1:18,1:50,3:07,9.9,2:46,2:04,4:50,15.4,3:28,3:53,7:20,23.4,2:26,0:36,3:02,9.7,9:57,8:23,18:20,58.4
Pumas,5,1:30,2:16,3:46,10.8,1:38,2:03,3:41,10.6,3:01,3:14,6:15,18,1:24,3:35,5:00,14.4,7:33,11:08,18:41,53.7
Western Province,5,1:18,2:01,3:20,10.6,1:42,1:12,2:54,9.2,1:04,2:06,3:10,10.1,0:32,3:09,3:40,11.7,4:36,8:27,13:03,41.6
Blue Bulls,6,0:58,2:07,3:05,12.7,1:48,1:25,3:14,13.3,2:00,2:26,4:26,18.3,1:50,1:18,3:08,12.9,6:37,7:16,13:53,57.3
Boland Kavaliers,6,1:30,2:38,4:08,15.9,1:10,0:58,2:08,8.2,0:48,2:14,3:03,11.7,0:32,0:26,0:58,3.7,4:00,6:16,10:16,39.5
Free State Cheetahs,6,0:35,1:29,2:04,8.1,0:44,1:23,2:08,8.4,1:40,1:17,2:57,11.6,2:31,1:32,4:03,15.9,5:30,5:42,11:12,44
Golden Lions,6,3:36,2:31,6:06,18,2:17,2:02,4:19,12.7,2:58,1:20,4:18,12.7,1:42,1:27,3:10,9.4,10:33,7:20,17:53,52.8
Griquas,6,2:09,2:34,4:44,18.2,0:56,1:09,2:05,8,1:41,3:33,5:14,20.1,1:44,1:58,3:42,14.2,6:30,9:14,15:44,60.5
Natal Sharks,6,2:04,2:47,4:51,19,1:40,1:48,3:27,13.5,1:27,2:00,3:27,13.5,0:38,1:54,2:32,9.9,5:49,8:28,14:17,56
Pumas,6,1:26,1:30,2:55,12,1:03,1:32,2:35,10.7,0:46,0:30,1:17,5.3,0:30,3:05,3:35,14.8,3:45,6:37,10:22,42.7
Western Province,6,0:27,3:06,3:32,10.4,1:52,1:30,3:22,9.9,2:22,0:40,3:02,9,2:28,3:34,6:02,17.8,7:10,8:49,15:59,47.2
Blue Bulls,7,2:12,3:10,5:23,16.6,2:16,1:24,3:41,11.3,1:50,2:38,4:28,13.7,5:44,1:04,6:48,20.9,12:03,8:17,20:20,62.6
Eastern Province Kings,7,3:39,2:58,6:36,13.9,1:23,2:06,3:29,7.3,3:18,0:52,4:10,8.8,1:04,,1:04,2.2,9:25,5:55,15:20,32.3
Griquas,7,1:27,1:11,2:38,8.1,1:29,1:22,2:50,8.7,0:40,3:40,4:20,13.3,1:14,1:08,2:22,7.3,4:49,7:21,12:10,37.4
Natal Sharks,7,2:23,1:13,3:36,7.6,1:03,13:04,14:07,29.7,3:41,3:12,6:53,14.5,3:18,4:16,7:34,15.9,10:25,21:45,32:10,67.7
Pumas,7,0:48,3:01,3:48,13,1:36,2:03,3:39,12.5,3:00,1:58,4:57,17,1:39,0:46,2:24,8.2,7:02,7:47,14:49,50.8
Western Province,7,1:32,1:08,2:40,9.1,1:50,1:35,3:24,11.7,2:13,1:58,4:11,14.4,1:10,2:54,4:04,14,6:45,7:35,14:20,49.2
