Team,Round,triesFromOwnLO,triesFromOwnScrum,triesFrom50mRecpt,triesFrom22mRecpt,triesTotalFromStructured,triesFromKickRecpt,triesFromTap,triesFromPenFreeKick,triesFromUTO,triesFromOppLO,triesFromOppScrum,triesFromOppRestart,triesFromOther,triesTotalFromUnstructured,triesTotal,triesFromAttack,triesFromTurnOvers
Blue Bulls,1,1,1,,,2,,1,,3,,,,,4,6,3,3
Boland Kavaliers,1,,,,,,,1,,,,,,,1,1,1,0
Free State Cheetahs,1,1,3,,,4,1,,,,,,,,1,5,5,0
Natal Sharks,1,2,1,,,3,1,,,,,1,,,2,5,4,1
Pumas,1,1,,,,1,,,,,,,,,,1,1,0
Western Province,1,2,1,1,,4,,,,,,,,,,4,4,0
Blue Bulls,2,1,,,,1,,,,1,,,,,1,2,1,1
Boland Kavaliers,2,2,,,,2,2,,,,,,,,2,4,4,0
Eastern Province Kings,2,,,,,,,1,,,,,,,1,1,1,0
Free State Cheetahs,2,3,,,,3,1,,,1,1,,,,3,6,4,2
Golden Lions,2,1,,,,1,2,1,2,1,1,,2,,9,10,8,2
Griquas,2,1,,,1,2,1,,,,,,,,1,3,3,0
Natal Sharks,2,3,1,,,4,1,,,1,,,,,2,6,5,1
Pumas,2,2,2,,,4,,,,,,,,,,4,4,0
Blue Bulls,3,1,,1,,2,1,,,1,3,,,,5,7,3,4
Boland Kavaliers,3,1,1,,,2,,1,,,,,,,1,3,3,0
Eastern Province Kings,3,1,1,,,2,1,,,1,,,1,,3,5,4,1
Free State Cheetahs,3,1,1,,,2,,,,,,,,,,2,2,0
Golden Lions,3,1,,1,,2,,,,2,,,,,2,4,2,2
Griquas,3,,,,,,1,1,,1,,,,,3,3,2,1
Natal Sharks,3,2,1,,1,4,1,1,,,,,,,2,6,6,0
Western Province,3,2,,,,2,,,,1,,,,,1,3,2,1
Blue Bulls,4,1,,,,1,,,,,,,,,,1,1,0
Boland Kavaliers,4,1,,,,1,,,1,,,,,,1,2,2,0
Golden Lions,4,5,,,,5,1,1,,2,,,,,4,9,7,2
Griquas,4,2,1,,,3,,,,1,,,,,1,4,3,1
Natal Sharks,4,1,,,,1,,,,1,,,,,1,2,1,1
Pumas,4,2,2,,,4,,,,,,,,,,4,4,0
Western Province,4,4,2,,,6,,,,,,,,,,6,6,0
Blue Bulls,5,1,1,,,2,,,,1,,,,,1,3,2,1
Boland Kavaliers,5,1,,,,1,,1,1,,,,,,2,3,3,0
Eastern Province Kings,5,,,,,,1,1,,1,,,,,3,3,2,1
Free State Cheetahs,5,4,1,,,5,1,,,1,1,,1,,4,9,7,2
Golden Lions,5,1,,,,1,1,,,,,,,,1,2,2,0
Natal Sharks,5,1,,,,1,,1,,,,,,,1,2,2,0
Pumas,5,2,,,,2,1,1,,,,,,,2,4,4,0
Western Province,5,4,,,,4,,,,1,,,,,1,5,4,1
Blue Bulls,6,2,1,,,3,1,1,,1,,,,,3,6,5,1
Boland Kavaliers,6,1,,,,1,1,,,1,,,,,2,3,2,1
Free State Cheetahs,6,1,1,1,,3,,,,1,,1,,,2,5,3,2
Golden Lions,6,2,,1,,3,2,1,,1,1,,,,5,8,6,2
Griquas,6,3,1,,,4,1,,1,,,,,,2,6,6,0
Natal Sharks,6,1,,,,1,1,,,,,,,,1,2,2,0
Pumas,6,1,,,,1,,,,,,,,,,1,1,0
Western Province,6,2,1,,,3,,1,,,,,,,1,4,4,0
Blue Bulls,7,1,1,,,2,1,2,,2,1,,,,6,8,5,3
Griquas,7,,,,,,,1,,1,,,,,2,2,1,1
Natal Sharks,7,5,1,,,6,1,,,,2,,,,3,9,7,2
Pumas,7,2,,,,2,,1,,,,,,,1,3,3,0
Western Province,7,2,1,,,3,1,,,,,,,,1,4,4,0
