player,no,matchTime,team,round,passes,offLoads,totalPassing,kicksInPlay,carryRuns,carryMetres,carryBeatsDef,carryGainLine,carryLinebreaks,ruckEff,ruckInEff,ruckTotal,rcvs,toInPos,pfInAttack,totalPF,Ruck Success
"Hall, B",9,1,Blues,1,57,2,59,6,6,21,2,4,1,,,,5,,,,
"West, I",10,1,Blues,1,23,,23,10,3,7,3,1,1,,,,2,,,,
"Guyton, B",21,1,Blues,1,20,,20,,4,32,1,4,,,,,4,,,,
"Bekhuis, J",5,1,Blues,1,5,,5,,6,8,,3,,,,,3,,,,
"Tuipulotu, P",4,1,Blues,1,5,1,6,,14,12,,6,,,,,1,3,,,
"Gibson, B",7,1,Blues,1,4,,4,,5,41,4,,2,,,,2,,,2,
"Moala, G",12,1,Blues,1,4,,4,,8,39,1,5,,,,,1,1,,,
"Li, T",11,1,Blues,1,3,,3,,7,22,2,4,1,,,,1,1,,,
"Edwards, J",6,1,Blues,1,2,,2,,9,17,,2,,,,,2,,,,
"Nanai, M",14,1,Blues,1,2,1,3,1,9,59,2,3,,,,,4,1,,,
"Ranger, R",23,1,Blues,1,2,1,4,,5,8,1,2,,,,,,2,,,
"Visinia, L",15,1,Blues,1,2,1,3,2,8,50,2,4,1,,,,3,,,,
"Ioane, A",19,1,Blues,1,1,1,2,,14,29,2,4,,,,,2,,,1,
"Luatua, S",8,1,Blues,1,1,,2,,6,4,,,,,,,4,1,,1,
"Pryor, K",20,1,Blues,1,1,,1,,3,11,1,,1,,,,,,,,
"Faumina, C",18,1,Blues,1,,,,,5,1,,1,,,,,,,,,
"MacDonald, Q",16,1,Blues,1,,,,,2,3,,1,,,,,,,,,
"Mafileo, S",3,1,Blues,1,,,,,2,4,,1,,,,,1,1,,,
"Parsons, J",2,1,Blues,1,,1,1,,3,15,,,,,,,,,,,
"Sau, M",13,1,Blues,1,,,,,2,2,2,1,,,,,,,,,
"Tu'ungafasi, O",1,1,Blues,1,,,,,11,22,3,8,,,,,1,,1,2,
"Cubelli, T",9,1,Brumbies,1,38,,38,3,7,24,3,3,1,,,,3,3,,,
"Lealiifano, C",10,1,Brumbies,1,15,,15,3,4,6,,1,,,,,3,,,1,
"Dowsett, M",21,1,Brumbies,1,9,,9,3,1,6,,,,,,,,,,,
"Toua, A",15,1,Brumbies,1,7,,7,7,1,,,,,,,,2,1,,,
"Pocock, D",7,1,Brumbies,1,6,1,7,,7,27,,3,,,,,5,,,4,
"Moore, S",2,1,Brumbies,1,5,,5,1,5,38,,1,1,,,,2,1,,,
"Toomua, M",12,1,Brumbies,1,3,1,4,2,4,11,1,2,1,,,,2,2,,1,
"Arnold, R",4,1,Brumbies,1,2,,2,,2,6,,1,,,,,,,,,
"Butler, J",20,1,Brumbies,1,2,,2,,4,31,3,3,1,,,,1,,,,
"Carter, S",5,1,Brumbies,1,2,,2,,8,18,,4,,,,,1,2,,,
"Fardy, S",6,1,Brumbies,1,2,,2,1,9,14,,4,,,,,4,,1,3,
"Speight, H",14,1,Brumbies,1,2,,2,1,4,40,2,1,1,,,,5,1,,,
"Vaea, I",8,1,Brumbies,1,2,1,3,,13,29,,6,,,,,2,1,,,
"Alaalatoa, A",1,1,Brumbies,1,1,,1,,5,6,,3,,,,,,1,,,
"Kuridrani, T",13,1,Brumbies,1,1,,1,,3,15,1,2,,,,,,,,1,
"Makin, L",18,1,Brumbies,1,1,,1,,,,,,,,,,,,,,
"Mann-Rea, J",16,1,Brumbies,1,1,,1,,2,34,1,1,1,,,,1,,,,
"Smiler, J",19,1,Brumbies,1,1,,1,,1,,,,,,,,1,,1,2,
"Smith, A",22,1,Brumbies,1,1,,1,,,,,,,,,,,1,,,
"Tomane, J",11,1,Brumbies,1,1,1,2,,2,15,2,1,1,,,,,,,,
"Alexander, B",3,1,Brumbies,1,,,,,2,15,,,1,,,,1,,1,1,
"Sio, S",17,1,Brumbies,1,,,,,3,6,,1,,,,,,,,,
"Meyer, T",22,1,Cheetahs ,1,32,,34,2,9,22,,6,,,,,1,1,,1,
"Venter, S",9,1,Cheetahs ,1,27,1,28,2,4,19,1,2,1,,,,4,1,1,1,
"Zeilinga, F",10,1,Cheetahs ,1,21,2,23,4,8,57,2,2,2,,,,8,2,,,
"Blommetjies, C",15,1,Cheetahs ,1,12,,12,3,10,64,3,4,,,,,6,5,1,2,
"Venter, F",13,1,Cheetahs ,1,9,1,10,,15,141,6,8,2,,,,2,,,,
"Small-Smith, W",12,1,Cheetahs ,1,5,,5,,8,35,,6,1,,,,3,,,1,
"Marais, D",23,1,Cheetahs ,1,4,,4,,,,,,,,,,2,1,,,
"Rhule, R",11,1,Cheetahs ,1,4,1,5,2,14,141,5,3,3,,,,3,6,2,3,
"Cassiem, U",7,1,Cheetahs ,1,3,,3,,5,6,,2,,,,,2,1,,1,
"de Jager, L",5,1,Cheetahs ,1,3,2,5,,6,30,2,2,1,,,,4,,,1,
"Van Jaarsveld, T",2,1,Cheetahs ,1,3,,3,,6,25,1,3,,,,,,,,,
"Du Toit, J",16,1,Cheetahs ,1,1,,1,,1,2,,,,,,,,,,,
"Petersen, S",14,1,Cheetahs ,1,1,,1,1,1,88,4,,1,,,,1,,,,
"Prinsloo, B",6,1,Cheetahs ,1,1,,1,,4,6,,2,,,,,1,,,,
"Schoeman, P",21,1,Cheetahs ,1,1,,1,,2,6,,1,,,,,2,,,,
"Wegner, C",4,1,Cheetahs ,1,1,1,2,,6,17,,2,,,,,3,2,,,
"De Bruin, L",18,1,Cheetahs ,1,,,,,1,,,,,,,,,,,,
"Hugo, R",19,1,Cheetahs ,1,,,,,1,4,1,1,,,,,,1,,,
"Jordaan, N",8,1,Cheetahs ,1,,,,,3,8,1,2,,,,,,1,,,
"Nche, O",17,1,Cheetahs ,1,,,1,,2,6,1,2,,,,,1,1,,1,
"van Dyk, M",3,1,Cheetahs ,1,,,,,4,5,1,1,,,,,,,,,
"Venter, H",20,1,Cheetahs ,1,,,,,3,6,,1,,,,,,,2,2,
"Kerr-Barlow, T",9,1,Chiefs ,1,42,2,44,3,7,42,2,2,,,,,2,1,1,1,
"Cruden, A",10,1,Chiefs ,1,25,2,27,5,12,63,2,4,1,,,,1,1,,,
"Weber, B",21,1,Chiefs ,1,23,,23,,1,1,,1,,,,,,1,,,
"Mckenzie, D",15,1,Chiefs ,1,17,1,18,5,17,89,5,5,1,,,,9,,,,
"Lowe, J",11,1,Chiefs ,1,8,1,9,7,15,82,2,5,,,,,11,1,,1,
"Retallick, B",5,1,Chiefs ,1,7,2,9,,6,8,1,1,,,,,1,1,,,
"Ngatai, C",12,1,Chiefs ,1,5,3,8,3,10,22,2,5,,,,,4,,,,
"Cane, S",7,1,Chiefs ,1,3,2,5,,12,19,1,6,,,,,2,1,,1,
"Seu, T",6,1,Chiefs ,1,3,,3,,5,12,,3,,,,,5,1,,1,
"Stevenson, S",14,1,Chiefs ,1,3,,3,2,6,37,1,3,1,,,,3,3,,,
"Allardice, M",4,1,Chiefs ,1,2,,2,,5,13,,2,1,,,,,1,,,
"Sanders, T",8,1,Chiefs ,1,2,2,4,,5,28,1,3,1,,,,2,2,,,
"Vaipulu, M",19,1,Chiefs ,1,2,1,3,,1,2,,1,,,,,1,,,,
"Bardoul, J",20,1,Chiefs ,1,1,,1,,2,19,,1,,,,,,,,,
"Graham, M",17,1,Chiefs ,1,1,,1,,3,6,,1,,,,,,,,,
"Lienert-Brown, A",22,1,Chiefs ,1,1,1,2,,4,33,1,2,1,,,,,1,,,
"Manu, P",1,1,Chiefs ,1,1,,1,,8,14,2,3,,,,,,1,,,
"Vaeno, L",23,1,Chiefs ,1,1,,1,,3,20,1,,,,,,,,,,
"Harris, N",16,1,Chiefs ,1,,,,,2,6,,,,,,,1,,1,1,
"Marshall, R",2,1,Chiefs ,1,,,,,,,,,,,,,,1,,,
"Tamanivalu, S",13,1,Chiefs ,1,,,1,,4,37,2,3,2,,,,,1,1,1,
"Tokolahi, S",18,1,Chiefs ,1,,,,,,,,,,,,,,,,1,
"Yamashita, H",3,1,Chiefs ,1,,,,,,,,,,,,,,,,1,
"Ellis, A",9,1,Crusaders ,1,51,1,52,10,2,11,,,,,,,5,3,,1,
"Mo'unga, R",10,1,Crusaders ,1,22,,22,11,8,74,1,2,1,,,,4,,,,
"Read, K",8,1,Crusaders ,1,8,,8,,5,7,,3,,,,,,1,,,
"Fonotia, K",12,1,Crusaders ,1,5,1,7,1,7,50,2,3,2,,,,,1,,1,
"Havili, D",15,1,Crusaders ,1,4,,4,5,7,41,3,5,2,,,,7,2,,,
"Macilai-Tori, J",14,1,Crusaders ,1,4,,4,,6,64,1,1,1,,,,3,1,,,
"Taufua, J",6,1,Crusaders ,1,4,1,5,,11,27,,5,1,,,,4,1,,,
"Taylor, C",2,1,Crusaders ,1,3,1,4,,3,4,,1,,,,,2,,,2,
"Wainui, S",13,1,Crusaders ,1,2,1,3,1,3,10,1,2,,,,,,1,,,
"Whitelock, S",5,1,Crusaders ,1,2,,2,,6,7,,2,,,,,2,,,1,
"Barrett, S",4,1,Crusaders ,1,1,,1,,,,,,,,,,2,1,,,
"Boys, T",7,1,Crusaders ,1,,,,,1,4,,,,,,,,,,,
"Crockett, W",17,1,Crusaders ,1,,,,,,,,,,,,,,,,1,
"Franks, O",3,1,Crusaders ,1,,,,,3,,,,,,,,,,,1,
"Funnell, B",16,0.01,Crusaders ,1,,,,,,,,,,,,,1,,,,
"Moody, J",1,1,Crusaders ,1,,,,,1,1,,1,,,,,1,,,,
