player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Gibson, B",7,1,Blues ,1,10,,,9,1,100,100,2,6,2,80,,,,2,,2,,2,2
"Moala, G",12,1,Blues ,1,8,,,7,1,100,100,,4,4,50,,,,,,,,,
"Tuipulotu, P",4,1,Blues ,1,8,1,,6,2,85.7,88.9,1,4,4,55.6,,,,1,1,2,,,
"Tu'ungafasi, O",1,1,Blues ,1,7,2,,6,1,75,77.8,,5,4,55.6,,,,,,,1,1,2
"Li, T",11,1,Blues ,1,6,1,,6,,85.7,85.7,1,4,2,71.4,,,,,,,,,
"Bekhuis, J",5,1,Blues ,1,5,1,,3,2,75,83.3,,4,2,66.7,,,,,1,1,,,
"Mafileo, S",3,1,Blues ,1,5,,,5,,100,100,1,2,2,60,,,,,,,,,
"Visinia, L",15,1,Blues ,1,5,1,,3,2,75,83.3,2,1,3,50,,,,1,,1,,,
"Luatua, S",8,1,Blues ,1,4,1,,3,1,75,80,,3,2,60,,,,,,,,1,1
"Ranger, R",23,1,Blues ,1,4,,,4,,100,100,,,4,,,,4,,,,,,
"Edwards, J",6,1,Blues ,1,3,,,3,,100,100,,2,1,66.7,,,,1,,1,,,
"Faumina, C",18,1,Blues ,1,3,,,3,,100,100,,1,2,33.3,,,,,,,,,
"Hall, B",9,1,Blues ,1,3,1,,1,2,50,75,,1,3,25,,,,,,,,,
"Ioane, A",19,1,Blues ,1,3,,,2,1,100,100,,1,2,33.3,,,1,,,,,1,1
"MacDonald, Q",16,1,Blues ,1,3,,,3,,100,100,,1,2,33.3,,,,,,,,,
"Sau, M",13,1,Blues ,1,3,2,,2,1,50,60,,1,4,20,,,,,,,,,
"Parsons, J",2,1,Blues ,1,2,2,,1,1,33.3,50,,1,3,25,,,,,,,,,
"Pryor, K",20,1,Blues ,1,2,,,1,1,100,100,,1,1,50,,,2,,,,,,
"West, I",10,1,Blues ,1,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Nanai, M",14,1,Blues ,1,1,,,1,,100,100,,,1,,,,2,,,,,,
"Kuridrani, T",13,1,Brumbies ,1,12,1,,10,2,90.9,92.3,3,7,3,76.9,,,3,1,,1,,1,1
"Lealiifano, C",10,1,Brumbies ,1,12,2,,11,1,84.6,85.7,,8,6,57.1,,,,,,,,1,1
"Toomua, M",12,1,Brumbies ,1,12,2,,9,3,81.8,85.7,,8,6,57.1,,,3,,,,,1,1
"Alaalatoa, A",1,1,Brumbies ,1,11,,,10,1,100,100,,7,4,63.6,,,,,,,,,
"Speight, H",14,1,Brumbies ,1,9,,,9,,100,100,3,4,2,77.8,,,,3,,3,,,
"Fardy, S",6,1,Brumbies ,1,7,3,,6,1,66.7,70,2,3,5,50,,,8,4,,4,1,2,3
"Moore, S",2,1,Brumbies ,1,7,,,6,1,100,100,,6,1,85.7,,,1,,,,,,
"Pocock, D",7,1,Brumbies ,1,6,3,,6,,66.7,66.7,,4,5,44.4,,,13,1,,1,,4,4
"Arnold, R",4,1,Brumbies ,1,5,3,,4,1,57.1,62.5,1,3,4,50,,,,,,,,,
"Vaea, I",8,1,Brumbies ,1,5,1,,4,1,80,83.3,,2,4,33.3,,,,1,,1,,,
"Alexander, B",3,1,Brumbies ,1,4,2,,2,2,50,66.7,,1,5,16.7,,,,,,,1,,1
"Carter, S",5,1,Brumbies ,1,4,2,,4,,66.7,66.7,1,2,3,50,,,,,,,,,
"Butler, J",20,1,Brumbies ,1,3,,,3,,100,100,1,2,,100,,,,1,,1,,,
"Cubelli, T",9,1,Brumbies ,1,3,1,,3,,75,75,,2,2,50,,,,,,,,,
"Makin, L",18,1,Brumbies ,1,3,,,2,1,100,100,,2,1,66.7,,,2,,,,,,
"Mann-Rea, J",16,1,Brumbies ,1,3,1,,3,,75,75,,3,1,75,,,,,,,,,
"Smiler, J",19,1,Brumbies ,1,3,,,3,,100,100,,3,,100,,,,1,,1,1,1,2
"Tomane, J",11,1,Brumbies ,1,2,1,,2,,66.7,66.7,,,3,,,,,,,,,,
"Toua, A",15,1,Brumbies ,1,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Dowsett, M",21,1,Brumbies ,1,1,,,1,,100,100,,1,,100,,,,,,,,,
"Sio, S",17,1,Brumbies ,1,,,,,,,,,,,,,,2,,,,,,
"Smith, A",22,1,Brumbies ,1,,1,,,,,,,,1,,,,,,,,,,
"de Jager, L",5,1,Cheetahs ,1,12,5,,5,7,50,70.6,,11,6,64.7,,,,,1,1,,1,1
"Van Jaarsveld, T",2,1,Cheetahs ,1,11,,,9,2,100,100,,7,4,63.6,,,,,,,,,
"Small-Smith, W",12,1,Cheetahs ,1,10,5,,7,3,58.3,66.7,1,4,10,33.3,,,,1,,1,,1,1
"Wegner, C",4,1,Cheetahs ,1,10,3,,8,2,72.7,76.9,,8,5,61.5,,,,,,,,,
"Zeilinga, F",10,1,Cheetahs ,1,10,3,,7,3,70,76.9,,4,9,30.8,,,,,,,,,
"Cassiem, U",7,1,Cheetahs ,1,9,1,,5,4,83.3,90,1,8,1,90,,,4,1,1,2,,1,1
"van Dyk, M",3,1,Cheetahs ,1,8,3,,8,,72.7,72.7,1,6,4,63.6,,,,,,,,,
"Marais, C.M",1,1,Cheetahs ,1,7,1,,6,1,85.7,87.5,,6,2,75,,,,,,,,,
"Rhule, R",11,1,Cheetahs ,1,7,3,,6,1,66.7,70,,2,8,20,,,,,,,2,1,3
"Schoeman, P",21,1,Cheetahs ,1,7,,,6,1,100,100,2,2,3,57.1,,,2,1,,1,,,
"Venter, S",9,1,Cheetahs ,1,7,4,,5,2,55.6,63.6,,4,7,36.4,,,,,,,1,,1
"Meyer, T",22,1,Cheetahs ,1,6,4,,5,1,55.6,60,2,3,5,50,,,,1,,1,,1,1
"Venter, F",13,1,Cheetahs ,1,6,3,,5,1,62.5,66.7,,3,6,33.3,,,,,,,,,
"Jordaan, N",8,1,Cheetahs ,1,5,3,,4,1,57.1,62.5,,3,5,37.5,,,,,,,,,
"Venter, H",20,1,Cheetahs ,1,5,,,4,1,100,100,,4,1,80,,,,,,,2,,2
"De Bruin, L",18,1,Cheetahs ,1,3,1,,2,1,66.7,75,1,2,1,75,,,,,,,,,
"Prinsloo, B",6,1,Cheetahs ,1,3,2,,3,,60,60,,2,3,40,,,8,1,,1,,,
"Hugo, R",19,1,Cheetahs ,1,2,1,,1,1,50,66.7,1,1,1,66.7,,,,,,,,,
"Nche, O",17,1,Cheetahs ,1,2,2,,2,,50,50,,2,2,50,,,2,,,,,1,1
"Blommetjies, C",15,1,Cheetahs ,1,1,2,,,1,,33.3,,,3,,,,,,,,1,1,2
"Marais, D",23,1,Cheetahs ,1,1,,,,1,,100,,1,,100,,,,,,,,,
"Petersen, S",14,1,Cheetahs ,1,1,2,,1,,33.3,33.3,1,,2,33.3,,,,1,,1,,,
"Cane, S",7,1,Chiefs ,1,10,1,,7,3,87.5,90.9,,7,4,63.6,,,10,,,,,1,1
"Kerr-Barlow, T",9,1,Chiefs ,1,9,1,,6,3,85.7,90,,2,8,20,,,1,,,,1,,1
"Cruden, A",10,1,Chiefs ,1,6,,,6,,100,100,1,3,2,66.7,,,1,,,,,,
"Lowe, J",11,1,Chiefs ,1,5,2,,5,,71.4,71.4,1,3,3,57.1,,,,,,,,1,1
"Manu, P",1,1,Chiefs ,1,5,,,3,2,100,100,,3,2,60,,,,,,,,,
"Ngatai, C",12,1,Chiefs ,1,5,1,,4,1,80,83.3,1,3,2,66.7,,,1,1,,1,,,
"Allardice, M",4,1,Chiefs ,1,4,1,,4,,80,80,,3,2,60,,,4,,,,,,
"Retallick, B",5,1,Chiefs ,1,4,1,,2,2,66.7,80,,4,1,80,,,1,,,,,,
"Sanders, T",8,1,Chiefs ,1,4,,,3,1,100,100,1,1,2,50,,,3,,,,,,
"Marshall, R",2,1,Chiefs ,1,3,,,2,1,100,100,1,2,,100,,,2,,,,,,
"Seu, T",6,1,Chiefs ,1,3,1,,3,,75,75,,,4,,,,2,,1,1,,1,1
"Stevenson, S",14,1,Chiefs ,1,3,1,,3,,75,75,1,1,2,50,,,,1,,1,,,
"Tamanivalu, S",13,1,Chiefs ,1,3,,,2,1,100,100,,1,2,33.3,,,1,,,,1,,1
"Mckenzie, D",15,1,Chiefs ,1,2,1,,2,,66.7,66.7,1,,2,33.3,,,,,,,,,
