Team,Round,triesFromOwnLO,triesFromOwnScrum,triesFrom50mRecpt,triesFrom22mRecpt,triesTotalFromStructured,triesFromKickRecpt,triesFromTap,triesFromPenFreeKick,triesFromUTO,triesFromOppLO,triesFromOppScrum,triesFromOppRestart,triesFromOther,triesTotalFromUnstructured,triesTotal,triesFromAttack,triesFromTurnOvers
Waratahs,1,2,,1,,3,1,,,,,,,,1,4,4,0
Sunwolves,1,,,,,,,,,,1,,,,1,1,0,1
Sharks,1,2,1,,,3,1,1,,1,,,,,3,6,5,1
Reds,1,,1,,,1,,,,,,,,,,1,1,0
Rebels,1,1,2,,,3,,,,,,,,,,3,3,0
Lions,1,3,,,,3,1,,,,,,,,1,4,4,0
Kings,1,1,,,,1,,,,,,,,,,1,1,0
Jaguares,1,3,,,,3,1,,,,,,,,1,4,4,0
Hurricanes,1,,,,,,1,,,,,,,,1,1,1,0
Highlanders,1,3,1,,,4,,,,,,,,,,4,4,0
Western Force,1,1,,,,1,,,,,,,,,,1,1,0
Crusaders,1,1,,,,1,,,,,,1,,,1,2,1,1
Chiefs,1,1,2,,,3,,,,1,,,,,1,4,3,1
Cheetahs,1,2,,1,,3,,,,1,,,,,1,4,3,1
Brumbies,1,5,1,1,,7,,,,,,,,,,7,7,0
Blues,1,1,,,1,2,,,,,1,,,,1,3,2,1
Stormers,1,3,,,,3,,,,,,,,,,3,3,0
Western Force,2,,,,,,,,,1,,,,,1,1,0,1
Waratahs,2,2,,,,2,,,,,,,,,,2,2,0
Stormers,2,1,,,,1,,1,,,,,,,1,2,2,0
Sharks,2,1,,,,1,,,,,,,,,,1,1,0
Rebels,2,2,,,,2,,2,,,,,,,2,4,4,0
Lions,2,2,1,,1,4,,,,,,,,,,4,4,0
Jaguares,2,,,,,,1,,,1,,,,,2,2,1,1
Hurricanes,2,,,,,,1,,,,,,,,1,1,1,0
Highlanders,2,1,,,,1,,,,,,,,,,1,1,0
Crusaders,2,,1,,,1,1,,,1,,,,,2,3,2,1
Chiefs,2,2,,,,2,1,,,1,,,,,2,4,3,1
Cheetahs,2,1,,,,1,,,,,,,,,,1,1,0
Bulls,2,2,,1,,3,,,,1,2,,,,3,6,3,3
Brumbies,2,1,2,,,3,,,,,1,,,,1,4,3,1
Blues,2,,1,,,1,,,,,,,,,,1,1,0
Western Force,3,2,,,,2,,,,,,,,,,2,2,0
Sunwolves,3,,1,,,1,,1,1,1,,,,,3,4,3,1
Stormers,3,1,,,,1,,,,,,,,,,1,1,0
